Protein_A	Protein_B	BioPlex_293T	BioPlex_HCT116	BioID_2018_2021	Mentha_20210802	HIunion	HIPPIE	recY2H_human	OpenCell	Corum	RBP_both	RBP_IP	RBP_SEC	Support_count	Uniprot_A	Uniprot_B
AKAP1	CCT2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q92667	P78371
AKAP1	CSTF2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q92667	P33240
AKAP1	DYNC1H1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q92667	Q14204
AKAP8	CCT2	0	0	0	0	0	1	0	0	0	0	0	0	1	O43823	P78371
AKAP8	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	O43823	P49736
AKAP8	RUVBL2	0	0	0	1	0	1	0	0	0	0	0	0	2	O43823	Q9Y230
AKAP8L	CSTF2	0	0	0	1	1	0	0	0	0	0	0	0	2	Q9ULX6	P33240
ALDH18A1	RPL23A	0	0	0	0	0	0	0	0	0	0	0	1	1	P54886	P62750
ALDH2	RPL23A	0	0	0	0	0	0	1	0	0	0	0	0	1	P05091	P62750
ALYREF	EXOSC10	0	0	0	0	0	0	0	0	0	0	0	1	1	Q86V81	Q01780
ALYREF	RPL23A	0	0	0	0	0	0	0	0	0	1	0	0	1	Q86V81	P62750
ALYREF	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	Q86V81	Q9Y230
ALYREF	SMARCC1	0	0	0	0	0	0	0	0	1	0	0	0	1	Q86V81	Q92922
AMOT	FUS	0	0	0	1	0	1	0	0	0	0	0	0	2	Q4VCS5	P35637
ANAPC1	ANAPC2	0	0	1	1	0	1	0	1	1	0	0	0	5	Q9H1A4	Q9UJX6
ANAPC1	ANAPC5	1	1	0	1	0	1	0	0	1	0	0	0	5	Q9H1A4	Q9UJX4
ANAPC11	ANAPC2	0	0	0	1	0	1	0	1	1	0	0	0	4	Q9NYG5	Q9UJX6
ANAPC11	ANAPC5	0	0	0	0	0	0	0	0	1	0	0	0	1	Q9NYG5	Q9UJX4
ANAPC11	CCT7	0	0	0	0	0	0	0	1	0	0	0	0	1	Q9NYG5	Q99832
ABCE1	ANAPC2	0	0	1	0	0	0	0	0	0	0	0	0	1	P61221	Q9UJX6
AFG3L2	ANAPC2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9Y4W6	Q9UJX6
ALDH1A2	ANAPC2	0	0	1	0	0	0	0	0	0	0	0	0	1	O94788	Q9UJX6
ALDH3A2	ANAPC2	0	0	1	0	0	0	0	0	0	0	0	0	1	P51648	Q9UJX6
ANAPC2	ANAPC5	1	1	1	1	0	1	0	1	1	0	0	0	7	Q9UJX6	Q9UJX4
ANAPC2	ANAPC7	0	0	0	1	0	1	0	1	1	0	0	0	4	Q9UJX6	Q9UJX3
ANAPC2	ANKHD1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q8IWZ3
ANAPC2	CACYBP	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9HB71
ANAPC2	CCNB1	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9UJX6	P14635
ANAPC2	CCT2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P78371
ANAPC2	CCT7	0	0	0	0	0	0	0	1	0	0	0	0	1	Q9UJX6	Q99832
ANAPC2	CDC16	1	0	1	1	0	1	0	1	1	0	0	0	6	Q9UJX6	Q13042
ANAPC2	CDC23	0	0	1	1	0	1	0	1	1	0	0	0	5	Q9UJX6	Q9UJX2
ANAPC2	CDC26	1	1	0	1	0	1	0	1	1	0	0	0	6	Q9UJX6	Q8NHZ8
ANAPC2	CDC27	0	0	0	1	0	1	0	1	1	0	0	0	4	Q9UJX6	P30260
ANAPC2	CDC5L	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q99459
ANAPC2	CDK2	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9UJX6	P24941
ANAPC2	CDK5RAP2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q96SN8
ANAPC2	CDKAL1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q5VV42
ANAPC2	CEP131	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9UPN4
ANAPC2	CEP350	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q5VT06
ANAPC2	CKB	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P12277
ANAPC2	CNDP2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q96KP4
ANAPC2	COPA	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P53621
ANAPC2	COPS5	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q92905
ANAPC2	CSTF2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P33240
ANAPC2	CSTF2T	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9H0L4
ANAPC2	DLG5	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q8TDM6
ANAPC2	DNAJA2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	O60884
ANAPC2	DNAJC7	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q99615
ANAPC2	DNM2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P50570
ANAPC2	DRG1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9Y295
ANAPC2	EIF2S1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P05198
ANAPC2	ERC1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q8IUD2
ANAPC2	ETFA	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P13804
ANAPC2	EXOC4	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q96A65
ANAPC2	FKBP4	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q02790
ANAPC2	FKBP8	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q14318
ANAPC2	FLII	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q13045
ANAPC2	GCC2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q8IWJ2
ANAPC2	GLMN	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q92990
ANAPC2	GLYR1	0	0	0	1	0	0	0	0	0	0	0	0	1	Q9UJX6	Q49A26
ANAPC2	GOLGA3	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q08378
ANAPC2	HAUS5	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	O94927
ANAPC2	HSD17B4	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P51659
ANAPC2	HSP90AA1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	P07900
ANAPC2	HSP90AB1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	P08238
ANAPC2	IST1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	P53990
ANAPC2	KIAA1671	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9BY89
ANAPC2	KIF11	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P52732
ANAPC2	KIF14	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q15058
ANAPC2	KIF7	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q2M1P5
ANAPC2	KLC1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q07866
ANAPC2	LDHA	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P00338
ANAPC2	LDHB	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P07195
ANAPC2	LRRC59	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q96AG4
ANAPC2	LYAR	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q9NX58
ANAPC2	MAD2L1	1	0	0	1	0	1	0	0	0	0	0	0	3	Q9UJX6	Q13257
ANAPC2	MDC1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q14676
ANAPC2	MTR	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q99707
ANAPC2	MYO5C	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9NQX4
ANAPC2	NUDT19	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	A8MXV4
ANAPC2	NUP107	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P57740
ANAPC2	NUP88	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q99567
ANAPC2	OCIAD1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9NX40
ANAPC2	PATL1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q86TB9
ANAPC2	PCNT	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	O95613
ANAPC2	PFKM	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P08237
ANAPC2	PIBF1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q8WXW3
ANAPC2	PKN2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q16513
ANAPC2	PLK1	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9UJX6	P53350
ANAPC2	POLR2B	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P30876
ANAPC2	PRKDC	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	P78527
ANAPC2	PSMC2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P35998
ANAPC2	PSMC4	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P43686
ANAPC2	PYCR1	0	0	0	0	0	0	0	1	0	0	0	0	1	Q9UJX6	P32322
ANAPC2	PYCR2	0	0	0	0	0	0	0	1	0	0	0	0	1	Q9UJX6	Q96C36
ANAPC2	RPAP3	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9H6T3
ANAPC2	SF3B3	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q15393
ANAPC2	SMC1A	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q14683
ANAPC2	SMPD4	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9NXE4
ANAPC2	SPATA5L1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9BVQ7
ANAPC2	SRI	0	0	0	0	0	0	0	1	0	0	0	0	1	Q9UJX6	P30626
ANAPC2	STIP1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P31948
ANAPC2	STUB1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9UNE7
ANAPC2	SUGT1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9Y2Z0
ANAPC2	TARS2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9BW92
ANAPC2	THOC7	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q6I9Y2
ANAPC2	TOMM22	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9NS69
ANAPC2	TP53	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P04637
ANAPC2	TP53BP1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q12888
ANAPC2	TTC1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q99614
ANAPC2	TUBGCP2	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	Q9BSJ2
ANAPC2	UBE2C	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	O00762
ANAPC2	UBE2S	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX6	Q16763
ANAPC2	UCHL1	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P09936
ANAPC2	UFD1L	0	0	0	1	0	0	0	0	0	0	0	0	1	Q9UJX6	Q92890
ANAPC2	WDR5	0	0	0	1	1	0	0	0	0	0	0	0	2	Q9UJX6	P61964
ANAPC2	YARS	0	0	1	0	0	0	0	0	0	0	0	0	1	Q9UJX6	P54577
ANAPC5	ANAPC7	1	1	0	1	0	1	0	0	1	0	0	1	6	Q9UJX4	Q9UJX3
ANAPC5	ATL3	1	0	0	0	0	0	0	0	0	0	0	0	1	Q9UJX4	Q6DD88
ANAPC5	BAG2	0	1	0	0	0	0	0	0	0	0	0	0	1	Q9UJX4	O95816
ANAPC5	BUB3	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	O43684
ANAPC5	CCNB1	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9UJX4	P14635
ANAPC5	CDC16	1	1	0	1	0	1	0	1	1	0	0	1	7	Q9UJX4	Q13042
ANAPC5	CDC23	1	1	0	1	0	1	0	1	1	0	0	1	7	Q9UJX4	Q9UJX2
ANAPC5	CDC26	1	1	0	1	0	1	0	1	1	0	0	0	6	Q9UJX4	Q8NHZ8
ANAPC5	CDC27	1	1	0	1	0	1	0	1	1	0	0	0	6	Q9UJX4	P30260
ANAPC5	DLST	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	P36957
ANAPC5	E2F1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	Q01094
ANAPC5	HSP90AA4P	0	1	0	0	0	0	0	0	0	0	0	0	1	Q9UJX4	Q58FG1
ANAPC5	HSPA8	1	0	0	0	0	0	0	0	0	0	0	0	1	Q9UJX4	P11142
ANAPC5	MDC1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	Q14676
ANAPC5	OGDH	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	Q02218
ANAPC5	PABPC1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	P11940
ANAPC5	RPS12	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	P25398
ANAPC5	RPS28	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	P62857
ANAPC5	SF3B3	0	1	0	0	0	0	0	0	0	0	0	0	1	Q9UJX4	Q15393
ANAPC5	THOC2	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	Q8NI27
ANAPC5	THOC3	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	Q96J01
ANAPC5	THOC5	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	Q13769
ANAPC5	THOC7	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX4	Q6I9Y2
ANAPC5	TP53BP1	0	0	0	1	0	1	0	0	0	0	0	1	3	Q9UJX4	Q12888
ANAPC5	TRIM33	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	Q9UPN9
ANAPC5	UBE2C	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9UJX4	O00762
ANAPC5	UBE2S	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UJX4	Q16763
ANAPC7	DLST	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9UJX3	P36957
ANKLE2	PPP2CA	0	0	0	1	0	1	0	1	0	0	0	0	3	Q86XL3	P67775
ANKRD17	PFDN1	0	0	1	0	0	0	0	0	0	0	0	0	1	O75179	O60925
ANLN	SEPT2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9NQW6	Q15019
ANP32A	PPP2CA	0	0	0	1	0	1	0	0	0	0	0	0	2	P39687	P67775
ANP32E	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	Q9BTT0	Q9Y230
ANXA1	CCT7	0	0	0	1	0	1	0	0	0	0	0	0	2	P04083	Q99832
ANXA7	CCT7	0	0	0	1	0	1	0	0	0	0	0	0	2	P20073	Q99832
AP2B1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	P63010	P49736
AP2M1	RUVBL2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q96CW1	Q9Y230
AP3M1	PSMA3	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9Y2T2	P25788
APEX1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	P27695	P49736
APEX1	RUVBL2	0	0	0	1	0	1	0	0	0	0	0	0	2	P27695	Q9Y230
APEX1	SMARCC1	0	0	1	0	0	0	0	0	0	0	0	0	1	P27695	Q92922
API5	RPL23	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9BZZ5	P62829
ARCN1	COPB1	0	0	0	1	1	1	0	0	0	0	0	0	3	P48444	P53618
ARF6	COPB1	0	0	1	0	0	0	0	0	0	0	0	0	1	P62330	P53618
ARF6	DCTN1	0	0	0	1	0	1	0	0	0	0	0	0	2	P62330	Q14203
ARF6	DYNC1H1	0	0	0	1	0	1	0	0	0	0	0	0	2	P62330	Q14204
ARF6	SEPT2	0	0	0	1	0	1	0	0	0	0	0	0	2	P62330	Q15019
ARF6	SMARCC1	0	0	0	1	0	1	0	0	0	0	0	0	2	P62330	Q92922
ARHGDIA	FUS	0	0	0	1	0	1	0	0	0	0	0	0	2	P52565	P35637
ARHGEF2	DCTN1	0	0	1	1	0	1	0	0	0	0	0	0	3	Q92974	Q14203
ARHGEF2	PPP2CA	0	0	0	1	0	1	0	1	0	0	0	0	3	Q92974	P67775
ARHGEF2	RPL23	0	0	0	0	0	0	0	0	0	0	0	1	1	Q92974	P62829
ARHGEF2	RPL23A	0	0	0	0	0	0	0	0	0	0	0	1	1	Q92974	P62750
ARID1A	FUS	0	0	0	0	0	0	0	0	1	0	0	0	1	O14497	P35637
ARID1A	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	O14497	Q9Y230
ARID1A	SMARCC1	0	0	0	1	0	1	0	1	1	0	0	0	4	O14497	Q92922
ARID1B	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	Q8NFD5	Q9Y230
ARID1B	SMARCC1	0	0	0	1	0	1	0	1	1	0	0	0	4	Q8NFD5	Q92922
ARID2	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	Q68CP9	Q9Y230
ARID2	SMARCC1	0	0	0	1	0	1	0	0	1	0	0	0	3	Q68CP9	Q92922
ARL2	PPP2CA	0	0	0	1	0	1	0	0	0	0	0	0	2	P36404	P67775
ARL3	RPL23	0	0	0	0	0	1	0	0	0	0	0	0	1	P36405	P62829
ARMC6	CCT2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q6NXE6	P78371
