Protein_A	Protein_B	Uniprot_A	Uniprot_B
RPL27B	STM1	P0C2H7	P39015
RPL27B	TMA46	P0C2H7	Q12000
RBG1	RPL29	P39729	P05747
RPL29	STM1	P05747	P39015
RPL29	TMA46	P05747	Q12000
RPL2A	TMA46	P0CX45	Q12000
RBG1	RPL31A	P39729	P0C2H8
RPL31A	STM1	P0C2H8	P39015
RBG1	RPL32	P39729	P38061
DED1	RPL33A	P06634	P05744
RBG1	RPL33A	P39729	P05744
RPL33B	STM1	P41056	P39015
RPL33B	TMA46	P41056	Q12000
RBG1	RPL34A	P39729	P87262
RPL34A	STM1	P87262	P39015
RPL34A	TMA46	P87262	Q12000
RBG1	RPL34B	P39729	P40525
RPL34B	STM1	P40525	P39015
RPL34B	TMA46	P40525	Q12000
RBG1	RPL35A	P39729	P0CX84
RPL35A	TMA46	P0CX84	Q12000
RPL35B	TMA46	P0CX85	Q12000
RPL36A	TMA46	P05745	Q12000
RBG1	RPL36B	P39729	O14455
RBG1	RPL37A	P39729	P49166
RPL37A	TMA46	P49166	Q12000
RPL37B	STM1	P51402	P39015
RPL37B	TMA46	P51402	Q12000
RBG1	RPL38	P39729	P49167
RPL38	TMA46	P49167	Q12000
NMD2	RPL3	P38798	P14126
RBG1	RPL3	P39729	P14126
RPL3	STM1	P14126	P39015
RPL3	TMA46	P14126	Q12000
RPL41A	STM1	P0CX86	P39015
RPL41A	TMA46	P0CX86	Q12000
RPL41B	STM1	P0CX87	P39015
RPL41B	TMA46	P0CX87	Q12000
RPL42A	TMA46	P0CX27	Q12000
RPL42B	TMA46	P0CX28	Q12000
RBG1	RPL43A	P39729	P0CX25
RPL43A	STM1	P0CX25	P39015
RPL43A	TMA46	P0CX25	Q12000
RPL43B	STM1	P0CX26	P39015
RPL43B	TMA46	P0CX26	Q12000
RPL4A	STM1	P10664	P39015
NMD2	RPL4B	P38798	P49626
RPL4B	STM1	P49626	P39015
RPL4B	TMA46	P49626	Q12000
RBG1	RPL5	P39729	P26321
RBG1	RPL6A	P39729	Q02326
RPL6A	STM1	Q02326	P39015
RPL6A	TMA46	Q02326	Q12000
RPL6B	STM1	P05739	P39015
RPL6B	TMA46	P05739	Q12000
RBG1	RPL7A	P39729	P05737
RPL7A	STM1	P05737	P39015
RPL7A	TMA46	P05737	Q12000
RPL7B	TMA46	Q12213	Q12000
RPL8A	STM1	P17076	P39015
RPL8A	TMA46	P17076	Q12000
RBG1	RPL8B	P39729	P29453
RPL8B	STM1	P29453	P39015
RPL8B	TMA46	P29453	Q12000
RBG1	RPL9A	P39729	P05738
RPL9A	STM1	P05738	P39015
RPL9A	TMA46	P05738	Q12000
RBG1	RPL9B	P39729	P51401
RPL9B	TMA46	P51401	Q12000
RPO21	RRP6	P04050	Q12149
RPO21	SET2	P04050	P46995
NEW1	RPO41	Q08972	P13433
RBG1	RPP0	P39729	P05317
RBG1	RPP1A	P39729	P05318
RPP1A	STM1	P05318	P39015
RPP1A	TMA46	P05318	Q12000
RPP1B	STM1	P10622	P39015
RPP1B	TMA46	P10622	Q12000
RBG1	RPP2B	P39729	P02400
RPP2B	STM1	P02400	P39015
RPP2B	TMA46	P02400	Q12000
RPS0A	STM1	P32905	P39015
RBG1	RPS0B	P39729	P46654
RPS0B	STM1	P46654	P39015
RPS0B	TMA46	P46654	Q12000
RPS10B	STM1	P46784	P39015
RPS12	STM1	P48589	P39015
RPS13	STM1	P05756	P39015
RPS14A	STM1	P06367	P39015
RPS15	STM1	Q01855	P39015
RPS16A	STM1	P0CX51	P39015
RPS17A	RRP6	P02407	Q12149
RPS17A	STM1	P02407	P39015
RPS17B	STM1	P14127	P39015
RPS19A	STM1	P07280	P39015
RPS19A	TMA46	P07280	Q12000
RPS19B	TMA46	P07281	Q12000
RPS1A	STM1	P33442	P39015
RPS20	STM1	P38701	P39015
RPS21A	STM1	P0C0V8	P39015
RPS21B	STM1	Q3E754	P39015
RPS24A	STM1	P0CX31	P39015
RPS24B	STM1	P0CX32	P39015
RPS25A	STM1	Q3E792	P39015
RPS25B	STM1	P0C0T4	P39015
RPS26A	STM1	P39938	P39015
RPS26B	STM1	P39939	P39015
RPS27A	STM1	P35997	P39015
RPS27B	STM1	P38711	P39015
RPS28A	STM1	Q3E7X9	P39015
RPS29B	STM1	P41058	P39015
RPS2	STM1	P25443	P39015
RPS30A	STM1	P0CX33	P39015
RPS30B	STM1	P0CX34	P39015
RPS3	STM1	P05750	P39015
RPS4A	STM1	P0CX35	P39015
RPS4B	STM1	P0CX36	P39015
RPS6A	STM1	P0CX37	P39015
RPS6A	TMA46	P0CX37	Q12000
RPS6B	STM1	P0CX38	P39015
RPS7A	STM1	P26786	P39015
RPS8A	STM1	P0CX39	P39015
RPS8B	STM1	P0CX40	P39015
RPS9A	STM1	O13516	P39015
RPS9A	TMA46	O13516	Q12000
RPS9B	STM1	P05755	P39015
RPS9B	TMA46	P05755	Q12000
RRB1	RRP6	Q04225	Q12149
RRP40	RRP6	Q08285	Q12149
RRP42	RRP6	Q12277	Q12149
RRP43	RRP6	P25359	Q12149
RRP45	RRP6	Q05636	Q12149
RRP46	RRP6	P53256	Q12149
RRP4	RRP6	P38792	Q12149
RRP5	RRP6	Q05022	Q12149
BUD21	RRP6	Q08492	Q12149
CDC19	RRP6	P00549	Q12149
ENP2	RRP6	P48234	Q12149
GCN20	RRP6	P43535	Q12149
GFA1	RRP6	P14742	Q12149
GRS1	RRP6	P38088-2	Q12149
HSP104	RRP6	P31539	Q12149
HSP78	RRP6	P33416	Q12149
IMP4	RRP6	P53941	Q12149
MPP10	RRP6	P47083	Q12149
NAN1	RRP6	Q02931	Q12149
NOP14	RRP6	Q99207	Q12149
RPS0B	RRP6	P46654	Q12149
RPS1B	RRP6	P23248	Q12149
RRP6	RRP6	Q12149	Q12149
RRP6	RRP7	Q12149	P25368
RRP6	RRP9	Q12149	Q06506
RRP6	RRT14	Q12149	P40470
RRP6	SAS10	Q12149	Q12136
RRP6	SEC16	Q12149	P48415
RRP6	SEC63	Q12149	P14906
RRP6	SKI6	Q12149	P46948
RRP6	SKI7	Q12149	Q08491
RRP6	SRP1	Q12149	Q02821
RRP6	SSA2	Q12149	P10592
RRP6	SSB1	Q12149	P11484
RRP6	SSB2	Q12149	P40150
RRP6	SSE1	Q12149	P32589
RRP6	TEF1	Q12149	P02994
RRP6	THS1	Q12149	P04801
RRP6	TIR1	Q12149	P10863
RRP6	TUB3	Q12149	P09734
RRP6	UTP10	Q12149	P42945
RRP6	UTP11	Q12149	P34247
RRP6	UTP13	Q12149	Q05946
RRP6	UTP14	Q12149	Q04500
RRP6	UTP15	Q12149	Q04305
RRP6	UTP18	Q12149	P40362
RRP6	UTP20	Q12149	P35194
RRP6	UTP21	Q12149	Q06078
RRP6	UTP22	Q12149	P53254
RRP6	UTP4	Q12149	Q06679
RRP6	UTP5	Q12149	Q04177
RRP6	UTP7	Q12149	P40055
RRP6	UTP8	Q12149	P53276
RRP6	UTP9	Q12149	P38882
RRP6	VMA2	Q12149	P16140
MRP51	RSM22	Q02950	P36056
MRP51	RSM23	Q02950	Q01163
MRP51	RSM25	Q02950	P40496
MRP51	RSM26	Q02950	P47141
MRP51	RSM27	Q02950	P53305
RTT102	SNF5	P53330	P18480
CDC48	SCS2	P25694	P40075
CDC48	SCS7	P25694	Q03529
SEC11	SEY1	P15367	Q99287
SEC16	STM1	P48415	P39015
FUS3	SEC53	P16892	P07283
CDC48	SEN15	P25694	Q04675
RPB11	SET2	P38902	P46995
RPB2	SET2	P08518	P46995
RPO26	SET2	P20435	P46995
SET2	SPN1	P46995	Q06505
SET2	SPT5	P46995	P27692
CDC48	SET6	P25694	Q12529
KAE1	SEY1	P36132	Q99287
SEY1	YOP1	Q99287	Q12402
SHM1	STM1	P37292	P39015
CDC48	SIT4	P25694	P20604
SIW14	UBR2	P53965	Q07963
CDC48	SLT2	P25694	Q00772
RPO41	SMC3	P13433	P47037
CDC48	SMK1	P25694	P41808
SNF11	SNF5	P38956	P18480
SNF2	SNF5	P22082	P18480
ARP7	SNF5	Q12406	P18480
LIP1	SNF5	Q03579	P18480
PHO87	SNF5	P25360	P18480
SNF12	SNF5	P53628	P18480
SNF5	SNF6	P18480	P18888
SNF5	SWI1	P18480	P09547
SNF5	SWI3	P18480	P32591
SNF5	SWP82	P18480	P43554
SNF5	TAF14	P18480	P35189
SNF5	URA1	P18480	P28272
CDC48	SNT2	P25694	P53127
ARC19	SOD1	P33204	P00445
ARC40	SOD1	P38328	P00445
COF1	SOD1	Q03048	P00445
FBA1	SOD1	P14540	P00445
GDH1	SOD1	P07262	P00445
