Protein_A	Protein_B	Uniprot_A	Uniprot_B
PRP4	RPS0B	P20053	P46654
PRP4	RPS16A	P20053	P0CX51
PRP4	RPS17A	P20053	P02407
PRP4	RPS21B	P20053	Q3E754
PRP4	RPS25A	P20053	Q3E792
PRP4	RPS27A	P20053	P35997
PRP4	RPS27B	P20053	P38711
PRP4	RPT4	P20053	P53549
PRP4	RRD1	P20053	P40454
PRP4	RRP36	P20053	Q12481
PRP4	RRP6	P20053	Q12149
PRP4	RRP9	P20053	Q06506
PRP4	RRT2	P20053	P38332
PRP4	RSC4	P20053	Q02206
PRP4	RSC8	P20053	P43609
PRP4	RSC9	P20053	Q03124
PRP4	RSP5	P20053	P39940
PRP4	RTC2	P20053	P38279
PRP4	RTF1	P20053	P53064
PRP4	RVS167	P20053	P39743
PRP4	RXT2	P20053	P38255
PRP4	RXT3	P20053	Q07458
PRP4	SAC1	P20053	P32368
PRP4	SAC3	P20053	P46674
PRP4	SAD1	P20053	P43589
PRP4	SAL1	P20053	D6W196
PRP4	SAP30	P20053	P38429
PRP4	SAS10	P20053	Q12136
PRP4	SCS2	P20053	P40075
PRP4	SCS7	P20053	Q03529
PRP4	SDC1	P20053	Q03323
PRP4	SDS3	P20053	P40505
PRP4	SEC12	P20053	P11655
PRP4	SEC22	P20053	P22214
PRP4	SEC65	P20053	P29478
PRP4	SEN1	P20053	Q00416
PRP4	SET3	P20053	P36124
PRP4	SFH5	P20053	P47008
PRP4	SGF11	P20053	Q03067
PRP4	SGF29	P20053	P25554
PRP4	SGF73	P20053	P53165
PRP4	SHE4	P20053	P51534
PRP4	SKI2	P20053	P35207
PRP4	SKY1	P20053	Q03656
PRP4	SLU7	P20053	Q02775
PRP4	SLX5	P20053	P32828
PRP4	SMA2	P20053	Q04658
PRP4	SMB1	P20053	P40018
PRP4	SMD1	P20053	Q02260
PRP4	SMD2	P20053	Q06217
PRP4	SMD3	P20053	P43321
PRP4	SME1	P20053	Q12330
PRP4	SMX2	P20053	P40204
PRP4	SMX3	P20053	P54999
PRP4	SNF4	P20053	P12904
PRP4	SNU114	P20053	P36048
PRP4	SNU13	P20053	P39990
PRP4	SNU23	P20053	Q12368
PRP4	SNU66	P20053	Q12420
PRP4	SPC110	P20053	P32380
PRP4	SPE1	P20053	P08432
PRP4	SPP1	P20053	Q03012
PRP4	SPP381	P20053	P38282
PRP4	SPP41	P20053	P38904
PRP4	SPS2	P20053	P08459
PRP4	SPT15	P20053	P13393
PRP4	SRB2	P20053	P34162
PRP4	SRC1	P20053	Q03707
PRP4	SSA1	P20053	P10591
PRP4	SSD1	P20053	P24276
PRP4	SSL1	P20053	Q04673
PRP4	SSM4	P20053	P40318
PRP4	STB5	P20053	P38699
PRP4	STE24	P20053	P47154
PRP4	STI1	P20053	P15705
PRP4	SUL1	P20053	P38359
PRP4	SWC3	P20053	P31376
PRP4	SWC5	P20053	P38326
PRP4	SWC7	P20053	Q06707
PRP4	SWF1	P20053	Q04629
PRP4	SWM2	P20053	P40342
PRP4	SWR1	P20053	Q05471
PRP4	SWS2	P20053	P53937
PRP4	SXM1	P20053	Q04175
PRP4	SYF1	P20053	Q04048
PRP4	SYH1	P20053	Q02875
PRP4	SYM1	P20053	Q06563
PRP4	TAD3	P20053	Q9URQ3
PRP4	TADA2A	P20053	NA
PRP4	TCP1	P20053	P12612
PRP4	TEF4	P20053	P36008
PRP4	TFB1	P20053	P32776
PRP4	TFC1	P20053	P32367
PRP4	TFC3	P20053	P34111
PRP4	TFC4	P20053	P33339
PRP4	TFC6	P20053	Q06339
PRP4	TFS1	P20053	P14306
PRP4	TGL3	P20053	P40308
PRP4	TGS1	P20053	Q12052
PRP4	THP1	P20053	Q08231
PRP4	THP2	P20053	O13539
PRP4	TRIM27	P20053	NA
PRP4	TRM11	P20053	Q12463
PRP4	TY1A-LR3;TY1A-GR2;TY1A-GR1;TY1A-JR1;TY1A-ML2	P20053	NA
PRP4	UBA4	P20053	P38820
PRP4	UBC7	P20053	Q02159
PRP4	UBP3	P20053	Q01477
PRP4	UBP6	P20053	P43593
PRP4	UBR2	P20053	Q07963
PRP4	UGA2	P20053	P38067
PRP4	UME6	P20053	P39001
PRP4	UPF3	P20053	P48412
PRP4	UPS1	P20053	Q05776
PRP4	URM1	P20053	P40554
PRP4	USA1	P20053	Q03714
PRP4	USHBP1	P20053	NA
PRP4	UTP8	P20053	P53276
PRP4	VMA21	P20053	P41806
PRP4	VPS71	P20053	Q03433
PRP4	VPS72	P20053	Q03388
PRP4	VTI1	P20053	Q04338
PRP4	VTS1	P20053	Q08831
PRP4	WHI5	P20053	Q12416
PRP4	XRN1	P20053	P22147
PRP4	YBL095W	P20053	NA
PRP4	YBR056W	P20053	P38081
PRP4	YBR071W	P20053	P38243
PRP4	YCL001W-A	P20053	P87012
PRP4	YDR248C	P20053	Q03786
PRP4	YGR027W-A	P20053	NA
PRP4	YGR067C	P20053	P53243
PRP4	YGR237C	P20053	P50089
PRP4	YHC1	P20053	Q05900
PRP4	YJR084W	P20053	NA
PRP4	YJR115W	P20053	P47152
PRP4	YJR141W	P20053	P47172
PRP4	YJU2	P20053	P28320
PRP4	YKE2	P20053	P52553
PRP4	YMR074C	P20053	Q04773
PRP4	YOR012W	P20053	Q12351
PRP4	YOR268C	P20053	Q08734
PRP4	YPL041C	P20053	NA
PRP4	YPL162C	P20053	Q12042
PRP4	YPT6	P20053	Q99260
PRP4	YRB2	P20053	P40517
PRP4	YTA7	P20053	P40340
PRP4	YVC1	P20053	Q12324
PRP4	snR14	P20053	NA
PRP4	snR6	P20053	NA
PRP4	snR7-L	P20053	NA
PRP4	snR7-S	P20053	NA
CDC48	PRP6	P25694	P19735
PRP6	SOD1	P19735	P00445
DED1	PRP8	P06634	P33334
NUM1	PRP8	Q00402	P33334
NUF2	PRP9	P33895	P19736
PRR1	SUB1	P28708	P54000
NUF2	PRS1	P33895	P32895
NUF2	PRS3	P33895	P38689
NUF2	PRS4	P33895	P38063
CDC48	PRS5	P25694	Q12265
NUF2	PRS5	P33895	Q12265
PRS5	SIW14	Q12265	P53965
PRS5	SNF5	Q12265	P18480
DED1	PRT1	P06634	P06103
NMD2	PRT1	P38798	P06103
PRT1	SUB1	P06103	P54000
PRX1	TOM70	P34227	P07213
FUS3	PSA1	P16892	P41940
NUM1	PSD1	Q00402	P39006
NDC80	PSE1	P40460	P32337
PSE1	SUB1	P32337	P54000
DBP1	PSK1	P24784	P31374
DED1	PSK1	P06634	P31374
PSK1	STM1	P31374	P39015
DBP1	PSK2	P24784	Q08217
DED1	PSK2	P06634	Q08217
PSK2	TOM70	Q08217	P07213
PSP1	SUB1	P50896	P54000
DBP1	PSP2	P24784	P50109
PSP2	RRP6	P50109	Q12149
NUP1	PSR1	P20676	Q07800
PSR1	RPO41	Q07800	P13433
PSR2	SNF5	Q07949	P18480
FUS3	PSY4	P16892	P38193
PTA1	RRP6	Q01329	Q12149
PTA1	SUB1	Q01329	P54000
PTC1	SUB1	P35182	P54000
PTC2	TOM70	P39966	P07213
FUS3	PTC3	P16892	P34221
FUS3	PTC4	P16892	P38089
PTC4	SET2	P38089	P46995
PTC4	SIW14	P38089	P53965
DEF1	PTC6	P35732	P25646
MRP51	PTC6	Q02950	P25646
NDC80	PTH1	P40460	P38876
PRP4	PTH1	P20053	P38876
PTH1	SNF5	P38876	P18480
PTI1	RRP6	P39927	Q12149
PTI1	SET2	P39927	P46995
PTI1	SNF5	P39927	P18480
PTI1	SUB1	P39927	P54000
CDC48	PTK2	P25694	P47116
DED1	PTK2	P06634	P47116
NDC80	PTK2	P40460	P47116
PTK2	SET2	P47116	P46995
CDC48	PTM1	P25694	P32857
NUF2	PTP1	P33895	P25044
PTP1	RPO41	P25044	P13433
FUS3	PTP3	P16892	P40048
PTP3	SUB1	P40048	P54000
PTP3	TOM70	P40048	P07213
DBP1	PUB1	P24784	P32588
MRP51	PUB1	Q02950	P32588
NDC80	PUB1	P40460	P32588
NMD2	PUB1	P38798	P32588
PUB1	TUB4	P32588	P53378
DED1	PUF2	P06634	Q12221
MRP51	PUF2	Q02950	Q12221
NDC80	PUF2	P40460	Q12221
NUP1	PUF2	P20676	Q12221
PUF2	RBG1	Q12221	P39729
PUF2	RPO41	Q12221	P13433
PUF2	SET2	Q12221	P46995
PUF2	SOD1	Q12221	P00445
PUF2	TMA46	Q12221	Q12000
COX20	PUF3	Q04935	Q07807
DED1	PUF3	P06634	Q07807
MRP51	PUF3	Q02950	Q07807
NUP1	PUF3	P20676	Q07807
PUF3	RBG1	Q07807	P39729
PUF3	RPO41	Q07807	P13433
PUF3	SET2	Q07807	P46995
PUF3	SIW14	Q07807	P53965
PUF3	SNF5	Q07807	P18480
PUF3	SOD1	Q07807	P00445
PUF3	STM1	Q07807	P39015
PUF3	STU2	Q07807	P46675
PUF3	SUB1	Q07807	P54000
PUF3	TMA46	Q07807	Q12000
PUF3	TOM70	Q07807	P07213
DED1	PUF4	P06634	P25339
DEF1	PUF4	P35732	P25339
MRP51	PUF4	Q02950	P25339
PUF4	RRP6	P25339	Q12149
PUF4	SOD1	P25339	P00445
PUF4	TMA46	P25339	Q12000
PUF6	RRP6	Q04373	Q12149
PUF6	STM1	Q04373	P39015
CDC48	PUP2	P25694	P32379
PUP2	SNF5	P32379	P18480
MRP51	PUS4	Q02950	P48567
PUS5	RPO41	Q06244	P13433
PUS7	RRP6	Q08647	Q12149
NUM1	PUT1	Q00402	P09368
FUS3	PUT3	P16892	P25502
NUF2	PUT4	P33895	P15380
DED1	PWP2	P06634	P25635
PWP2	RRP6	P25635	Q12149
PXA2	SOD1	P34230	P00445
PRP4	PYC1	P20053	P11154
PZF1	RRP6	P39933	Q12149
QCR10	TOM70	P37299	P07213
QCR2	SNF5	P07257	P18480
QCR8	SIW14	P08525	P53965
NMD2	QDR3	P38798	P38227
QRI1	RRP6	P43123	Q12149
MRP51	QRI5	Q02950	P32344
DEF1	RAD14	P35732	P28519
RAD16	SET2	P31244	P46995
FUS3	RAD17	P16892	P48581
RAD17	SOD1	P48581	P00445
RAD18	SOD1	P10862	P00445
CDC48	RAD1	P25694	P06777
RAD1	TUB4	P06777	P53378
FUS3	RAD24	P16892	P32641
NDT80	RAD24	P38830	P32641
RAD24	SOD1	P32641	P00445
RAD24	STM1	P32641	P39015
RAD26	RRP6	P40352	Q12149
BIM1	RAD27	P40013	P26793
CDC48	RAD27	P25694	P26793
RAD27	SOD1	P26793	P00445
DEF1	RAD30	P35732	Q04049
RAD30	SET2	Q04049	P46995
RAD4	SNF5	P14736	P18480
BIM1	RAD50	P40013	P12753
CDC48	RAD50	P25694	P12753
NUF2	RAD50	P33895	P12753
RAD50	SNF5	P12753	P18480
RAD50	SOD1	P12753	P00445
NMD2	RAD51	P38798	P25454
RAD51	SET2	P25454	P46995
RAD51	SIW14	P25454	P53965
RAD51	SOD1	P25454	P00445
RAD51	STU2	P25454	P46675
RAD52	SIW14	P06778	P53965
RAD52	SOD1	P06778	P00445
RAD52	STM1	P06778	P39015
BIM1	RAD53	P40013	P22216
CDC48	RAD53	P25694	P22216
DED1	RAD53	P06634	P22216
NMD2	RAD53	P38798	P22216
NUM1	RAD53	Q00402	P22216
NUP1	RAD53	P20676	P22216
RAD53	RRP6	P22216	Q12149
RAD53	SET2	P22216	P46995
RAD54	SIW14	P32863	P53965
RAD54	SOD1	P32863	P00445
RAD55	SOD1	P38953	P00445
RAD57	SOD1	P25301	P00445
CDC48	RAD59	P25694	Q12223
DEF1	RAD5	P35732	P32849
NUF2	RAD5	P33895	P32849
RAD5	SEY1	P32849	Q99287
RAD5	SOD1	P32849	P00445
RAD5	STM1	P32849	P39015
NDT80	RAD61	P38830	Q99359
BIM1	RAD6	P40013	P06104
CDC48	RAD6	P25694	P06104
DEF1	RAD6	P35732	P06104
MRP51	RAD6	Q02950	P06104
RAD6	SET2	P06104	P46995
RAD6	SOD1	P06104	P00445
CDC48	RAD7	P25694	P06779
DEF1	RAD7	P35732	P06779
MRP51	RAD9	Q02950	P14737
NMD2	RAD9	P38798	P14737
RAD9	SOD1	P14737	P00445
RAD9	STU2	P14737	P46675
DED1	RAM1	P06634	P22007
RAM1	SIW14	P22007	P53965
CDC48	RAP1	P25694	P11938
DED1	RAP1	P06634	P11938
NMD2	RAP1	P38798	P11938
NUF2	RAP1	P33895	P11938
RAP1	RPO41	P11938	P13433
RAP1	SET2	P11938	P46995
RAP1	SNF5	P11938	P18480
RAP1	SOD1	P11938	P00445
RAP1	STM1	P11938	P39015
RAP1	STU2	P11938	P46675
RAP1	SUB1	P11938	P54000
DED1	RAT1	P06634	Q02792
NMD2	RAT1	P38798	Q02792
RAT1	SET2	Q02792	P46995
RAT1	SIW14	Q02792	P53965
RAT1	STM1	Q02792	P39015
RAT1	TMA46	Q02792	Q12000
RAT1	TOM70	Q02792	P07213
RAV2	SIW14	Q03956	P53965
RBA50	SET2	Q04418	P46995
ADA2	RBG1	Q02336	P39729
AIM11	RBG1	P87275	P39729
AIM18	RBG1	P38884	P39729
ARX1	RBG1	Q03862	P39729
ATG17	RBG1	Q06410	P39729
BCK1	RBG1	Q01389	P39729
BFA1	RBG1	P47113	P39729
BLM10	RBG1	P43583	P39729
CDC1	RBG1	P40986	P39729
CDC48	RBG1	P25694	P39729
CIA2	RBG1	NA	P39729
CLU1	RBG1	Q03690	P39729
DNF1	RBG1	P32660	P39729
EMG1	RBG1	Q06287	P39729
ESS1	RBG1	P22696	P39729
GLN1	RBG1	P32288	P39729
GOLGA2	RBG1	NA	P39729
HRR25	RBG1	P29295	P39729
IKZF3	RBG1	NA	P39729
INO4	RBG1	P13902	P39729
MED4	RBG1	Q12343	P39729
MOB2	RBG1	P43563	P39729
MYO2	RBG1	P19524	P39729
NOP14	RBG1	Q99207	P39729
NTO1	RBG1	Q12311	P39729
PDR1	RBG1	P12383	P39729
PET8	RBG1	P38921	P39729
RBG1	RBG2	P39729	P53295
RBG1	RGR1	P39729	P19263
RBG1	RPC34	P39729	P32910
RBG1	RPL25	P39729	P04456
RBG1	RPL8A	P39729	P17076
RBG1	RPN1	P39729	P38764
RBG1	RPP1B	P39729	P10622
RBG1	RPS30B	P39729	P0CX34
RBG1	RSC8	P39729	P43609
RBG1	RSP5	P39729	P39940
RBG1	SHG1	P39729	P38337
RBG1	SPC19	P39729	Q03954
RBG1	SSA1	P39729	P10591
RBG1	SSA2	P39729	P10592
RBG1	SSB2	P39729	P40150
RBG1	STE50	P39729	P25344
RBG1	SUP35	P39729	P05453
RBG1	TIF2	P39729	NA
RBG1	TMA46	P39729	Q12000
RBG1	TRS23	P39729	Q03784
RBG1	YAP1	P39729	P19880
RBG1	YER156C	P39729	P40093
RBG1	YGR250C	P39729	P53316
RBG1	YJR084W	P39729	NA
RBG1	YPR096C	P39729	O13587
RBK1	SIW14	P25332	P53965
CDC48	RCK1	P25694	P38622
FUS3	RCK1	P16892	P38622
RCK1	SNF5	P38622	P18480
RCK2	SET2	P38623	P46995
RCL1	RRP6	Q08096	Q12149
PRP4	RCO1	P20053	Q04779
RCO1	SET2	Q04779	P46995
DED1	RDR1	P06634	Q08904
RDS1	SOD1	P25611	P00445
RDS2	SOD1	P19541	P00445
NDC80	REB1	P40460	P21538
REB1	RRP6	P21538	Q12149
REB1	SNF5	P21538	P18480
REB1	STU2	P21538	P46675
REB1	TOM70	P21538	P07213
NMD2	REC8	P38798	Q12188
FUS3	RED1	P16892	P14291
REE1	SNF5	P40893	P18480
CDC48	REF2	P25694	P42073
REF2	RRP6	P42073	Q12149
REF2	TOM70	P42073	P07213
REI1	STM1	P38344	P39015
CDC48	RET1	P25694	P22276
DED1	RET1	P06634	P22276
PRP4	RET2	P20053	P43621
RET2	SET2	P43621	P46995
REV7	SIW14	P38927	P53965
REX4	RRP6	Q08237	Q12149
NUM1	RFA2	Q00402	P26754
RFA2	SET2	P26754	P46995
RFA2	SNF5	P26754	P18480
RFA2	SUB1	P26754	P54000
NMD2	RFA3	P38798	P26755
RFA3	SUB1	P26755	P54000
RFC1	SET2	P38630	P46995
RFC2	RRP6	P40348	Q12149
CDC48	RFC4	P25694	P40339
DED1	RFC4	P06634	P40339
FUS3	RFC4	P16892	P40339
NDC80	RFC4	P40460	P40339
RFC4	SET2	P40339	P46995
RFC4	SIW14	P40339	P53965
PRP4	RFC5	P20053	P38251
RFC5	SET2	P38251	P46995
RFC5	STM1	P38251	P39015
DBP1	RFM1	P24784	Q12192
CDC48	RFT1	P25694	P38206
DED1	RFT1	P06634	P38206
DEF1	RFT1	P35732	P38206
NUM1	RFT1	Q00402	P38206
RFT1	SIW14	P38206	P53965
RFX1	RRP6	P48743	Q12149
RFX1	SET2	P48743	P46995
RFX1	SIW14	P48743	P53965
CDC48	RGL1	P25694	Q12194
RGL1	RRP6	Q12194	Q12149
RGL1	SEY1	Q12194	Q99287
RGL1	SIW14	Q12194	P53965
NMD2	RGP1	P38798	P16664
RGP1	SIW14	P16664	P53965
RGP1	SUB1	P16664	P54000
RGR1	SIW14	P19263	P53965
RGR1	TOM70	P19263	P07213
CDC48	RHO1	P25694	P06780
NUF2	RHO1	P33895	P06780
RHO1	RRP6	P06780	Q12149
RHO2	RPO41	P06781	P13433
NMD2	RHO5	P38798	P53879
RHO5	TOM70	P53879	P07213
NMD4	RIA1	Q12129	P53893
NUM1	RIA1	Q00402	P53893
RIA1	SIW14	P53893	P53965
PRP4	RIB5	P20053	P38145
RIC1	RPO41	P40395	P13433
RIC1	RRP6	P40395	Q12149
RIC1	SEY1	P40395	Q99287
RIC1	SIW14	P40395	P53965
RIC1	SOD1	P40395	P00445
RIC1	SUB1	P40395	P54000
RIM101	RRP6	P33400	Q12149
RIM101	SUB1	P33400	P54000
FUS3	RIM11	P16892	P38615
RIM13	SET2	Q03792	P46995
RIM1	SET2	P32445	P46995
RIM20	SET2	Q12033	P46995
NMD2	RIM21	P38798	P48565
NUM1	RIM21	Q00402	P48565
RIM21	RRP6	P48565	Q12149
RIM21	SET2	P48565	P46995
RIM21	STM1	P48565	P39015
RIM21	SUB1	P48565	P54000
RIM9	SET2	Q04734	P46995
RIM9	TOM70	Q04734	P07213
BIM1	RIO1	P40013	Q12196
DED1	RIO1	P06634	Q12196
NDC80	RIO1	P40460	Q12196
NMD4	RIO1	Q12129	Q12196
NUF2	RIO1	P33895	Q12196
NUM1	RIO1	Q00402	Q12196
RIO1	RRP6	Q12196	Q12149
RIO1	SNF5	Q12196	P18480
RIO1	STU2	Q12196	P46675
DED1	RIO2	P06634	P40160
NUM1	RIO2	Q00402	P40160
RIO2	SNF5	P40160	P18480
CDC48	RIP1	P25694	P08067
NUF2	RIT1	P33895	P23796
RIX1	SNF5	P38883	P18480
RIX7	STM1	Q07844	P39015
CDC48	RKI1	P25694	Q12189
RKM1	SNF5	Q08961	P18480
DBP1	RKM2	P24784	Q03942
RKM2	SIW14	Q03942	P53965
RKR1	SNF5	Q04781	P18480
BIM1	RLF2	P40013	Q12495
FUS3	RLF2	P16892	Q12495
NMD2	RLI1	P38798	Q03195
RLI1	SNF5	Q03195	P18480
RLI1	STM1	Q03195	P39015
NUF2	RLP24	P33895	Q07915
NUM1	RLP24	Q00402	Q07915
RLP24	RRP6	Q07915	Q12149
DED1	RLP7	P06634	P40693
RLP7	RRP6	P40693	Q12149
RLP7	STM1	P40693	P39015
RMD1	RRP6	Q03441	Q12149
RMD1	SIW14	Q03441	P53965
RMD1	SUB1	Q03441	P54000
RMD8	RRP6	P43620	Q12149
RMD9	SNF5	P53140	P18480
RMD9	TOM70	P53140	P07213
BIM1	RMI1	P40013	Q02685
RMI1	RRP6	Q02685	Q12149
RMI1	SET2	Q02685	P46995
RML2	SIW14	P32611	P53965
RML2	SNF5	P32611	P18480
RML2	SUB1	P32611	P54000
RML2	TOM70	P32611	P07213
RMP1	STM1	Q12530	P39015
CDC48	RMR1	P25694	P53060
RMR1	SIW14	P53060	P53965
DEF1	RNA14	P35732	P25298
NUF2	RNA14	P33895	P25298
RNA14	RRP6	P25298	Q12149
NMD2	RNA15	P38798	P25299
RNA15	RRP6	P25299	Q12149
RNA15	SET2	P25299	P46995
RNA15	STM1	P25299	P39015
RNA15	SUB1	P25299	P54000
PRP4	RNA1	P20053	P11745
RNA1	STU2	P11745	P46675
RNA1	SUB1	P11745	P54000
RNH203	SIW14	Q12338	P53965
RNH203	SNF5	Q12338	P18480
RNH70	RRP6	P53331	Q12149
CDC48	RNR1	P25694	P21524
DED1	RNR1	P06634	P21524
NUM1	RNR1	Q00402	P21524
RNR1	STU2	P21524	P46675
RNR1	TOM70	P21524	P07213
RNT1	RRP6	Q02555	Q12149
NUF2	RNY1	P33895	Q02933
NUF2	ROG1	P33895	P53118
ROG1	SET2	P53118	P46995
ROG1	SNF5	P53118	P18480
ROM1	SNF5	P53046	P18480
CDC48	ROM2	P25694	P51862
NMD2	ROM2	P38798	P51862
ROM2	RRP6	P51862	Q12149
ROM2	SET2	P51862	P46995
ROM2	SNF5	P51862	P18480
PRP4	ROT1	P20053	Q03691
ROT2	RPO41	P38138	P13433
ROX1	RRP6	P25042	Q12149
ROX1	SET2	P25042	P46995
ROX1	SOD1	P25042	P00445
ROX3	STM1	P25046	P39015
DED1	RPA135	P06634	P22138
RPA14	RRP6	P50106	Q12149
RPA14	SET2	P50106	P46995
RPA14	SNF5	P50106	P18480
CDC48	RPA190	P25694	P10964
MRP51	RPA34	Q02950	P47006
RPA34	RRP6	P47006	Q12149
RPA34	SIW14	P47006	P53965
BIM1	RPA43	P40013	P46669
RPA43	RRP6	P46669	Q12149
NMD2	RPA49	P38798	Q01080
NUF2	RPA49	P33895	Q01080
RPA49	RRP6	Q01080	Q12149
RPA49	SIW14	Q01080	P53965
NDC80	RPB10	P40460	P22139
NMD2	RPB10	P38798	P22139
RBG1	RPB10	P39729	P22139
RPB10	SET2	P22139	P46995
RPB10	TOM70	P22139	P07213
DED1	RPB11	P06634	P38902
NDC80	RPB11	P40460	P38902
NMD2	RPB11	P38798	P38902
PRP4	RPB11	P20053	P38902
CDC48	RPB3	P25694	P16370
NDC80	RPB3	P40460	P16370
NUM1	RPB3	Q00402	P16370
RPB3	RRP6	P16370	Q12149
RPB3	SET2	P16370	P46995
RPB3	STU2	P16370	P46675
RPB3	SUB1	P16370	P54000
RPB4	SET2	P20433	P46995
RPB4	SUB1	P20433	P54000
RPB5	SET2	P20434	P46995
RPB7	SET2	P34087	P46995
RPB7	SUB1	P34087	P54000
RPB9	SET2	P27999	P46995
RPB9	SUB1	P27999	P54000
DED1	RPC10	P06634	P40422
RPC10	SET2	P40422	P46995
CDC48	RPC25	P25694	P35718
RPC25	STM1	P35718	P39015
RPC25	SUB1	P35718	P54000
RPC25	TMA46	P35718	Q12000
DBP1	RPC31	P24784	P17890
DED1	RPC31	P06634	P17890
RPC31	SOD1	P17890	P00445
BIM1	RPC40	P40013	P07703
CDC48	RPC40	P25694	P07703
RPC40	RRP6	P07703	Q12149
DED1	RPC53	P06634	P25441
RPC53	SET2	P25441	P46995
NUM1	RPC82	Q00402	P32349
RPC82	RRP6	P32349	Q12149
RPC82	SNF5	P32349	P18480
RPC82	SUB1	P32349	P54000
RPC82	TOM70	P32349	P07213
CDC48	RPD3	P25694	P32561
COX20	RPD3	Q04935	P32561
FUS3	RPD3	P16892	P32561
NUF2	RPD3	P33895	P32561
RPD3	SET2	P32561	P46995
RPD3	SIW14	P32561	P53965
RPD3	SOD1	P32561	P00445
RPD3	STM1	P32561	P39015
RPD3	SUB1	P32561	P54000
RPD3	TOM70	P32561	P07213
RPE1	SIW14	P46969	P53965
RPF1	RRP6	P38805	Q12149
NUM1	RPF2	Q00402	P36160
RPF2	RRP6	P36160	Q12149
RPF2	STM1	P36160	P39015
CDC48	RPG1	P25694	P38249
NMD2	RPG1	P38798	P38249
NUF2	RPG1	P33895	P38249
CDC48	RPH1	P25694	P39956
NUP1	RPH1	P20676	P39956
RPH1	SNF5	P39956	P18480
RPH1	STM1	P39956	P39015
PRP4	RPL10	P20053	P41805
RBG1	RPL10	P39729	P41805
RPL10	RRP6	P41805	Q12149
RPL10	STM1	P41805	P39015
RPL10	TMA46	P41805	Q12000
NUP1	RPL11A	P20676	P0C0W9
RPL11A	SIW14	P0C0W9	P53965
RPL11A	SOD1	P0C0W9	P00445
RPL11A	TMA46	P0C0W9	Q12000
NUF2	RPL11B	P33895	Q3E757
RPL11B	STM1	Q3E757	P39015
RPL11B	TMA46	Q3E757	Q12000
NUM1	RPL12A	Q00402	P0CX53
RBG1	RPL12B	P39729	P0CX54
RPL12B	TMA46	P0CX54	Q12000
RPL13A	STM1	Q12690	P39015
RPL13A	TMA46	Q12690	Q12000
RBG1	RPL13B	P39729	P40212
RPL13B	TMA46	P40212	Q12000
RBG1	RPL14A	P39729	P36105
RPL14A	STM1	P36105	P39015
RPL14A	TMA46	P36105	Q12000
NUM1	RPL14B	Q00402	P38754
RPL14B	STM1	P38754	P39015
RPL14B	TMA46	P38754	Q12000
RBG1	RPL15A	P39729	P05748
RPL15A	SIW14	P05748	P53965
NUF2	RPL16A	P33895	P26784
RBG1	RPL16A	P39729	P26784
RPL16A	STM1	P26784	P39015
RPL16A	TMA46	P26784	Q12000
RBG1	RPL16B	P39729	P26785
NUF2	RPL17A	P33895	P05740
RBG1	RPL17A	P39729	P05740
RPL17A	STM1	P05740	P39015
RPL17A	TMA46	P05740	Q12000
RPL17B	STM1	P46990	P39015
RPL17B	TMA46	P46990	Q12000
DED1	RPL18A	P06634	P0CX49
CDC48	RPL18B	P25694	P0CX50
RPL18B	SNF5	P0CX50	P18480
RPL18B	TMA46	P0CX50	Q12000
NUM1	RPL19A	Q00402	P0CX82
RPL19A	STM1	P0CX82	P39015
RPL19A	TMA46	P0CX82	Q12000
RPL19B	STM1	P0CX83	P39015
RPL19B	TMA46	P0CX83	Q12000
NUM1	RPL1B	Q00402	P0CX44
RPL1B	RPO41	P0CX44	P13433
RPL1B	SIW14	P0CX44	P53965
RBG1	RPL20A	P39729	P0CX23
RPL20A	STM1	P0CX23	P39015
RPL20A	TMA46	P0CX23	Q12000
RPL20B	SIW14	P0CX24	P53965
RPL20B	TMA46	P0CX24	Q12000
RBG1	RPL21A	P39729	Q02753
RPL21A	STM1	Q02753	P39015
RPL21A	TMA46	Q02753	Q12000
RBG1	RPL21B	P39729	Q12672
RPL21B	STM1	Q12672	P39015
RPL21B	TMA46	Q12672	Q12000
RBG1	RPL22A	P39729	P05749
RPL22A	STM1	P05749	P39015
RPL22A	TMA46	P05749	Q12000
RPL22B	STM1	P56628	P39015
RPL22B	TMA46	P56628	Q12000
RPL23B	SNF5	P0CX42	P18480
RPL23B	STU2	P0CX42	P46675
DED1	RPL24A	P06634	P04449
RPL24A	STM1	P04449	P39015
RPL24A	TMA46	P04449	Q12000
RPL24B	STM1	P24000	P39015
RPL24B	TMA46	P24000	Q12000
DED1	RPL25	P06634	P04456
MRP51	RPL25	Q02950	P04456
RPL25	RRP6	P04456	Q12149
RPL25	SET2	P04456	P46995
RPL25	SNF5	P04456	P18480
RPL25	STM1	P04456	P39015
RPL25	SUB1	P04456	P54000
RPL25	TMA46	P04456	Q12000
CDC48	RPL26A	P25694	P05743
DED1	RPL26A	P06634	P05743
MRP51	RPL26A	Q02950	P05743
NUF2	RPL26A	P33895	P05743
RBG1	RPL26A	P39729	P05743
RPL26A	RRP6	P05743	Q12149
RPL26A	SET2	P05743	P46995
RPL26A	SNF5	P05743	P18480
RPL26A	STM1	P05743	P39015
RPL26A	SUB1	P05743	P54000
RPL26A	TMA46	P05743	Q12000
RBG1	RPL26B	P39729	P53221
RPL26B	STM1	P53221	P39015
RPL26B	TMA46	P53221	Q12000
RPL27A	RPO41	P0C2H6	P13433
