	Gene names	Protein IDs	LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15
36	GTPBP1	O00178	27792000.0	18711000.0	22293000.0	0.0	22813000.0	21535000.0	24826000.0	19184000.0	0.0	21680000.0	0.0	0.0	19327000.0	30280000.0	32191000.0
37	NDUFS8	O00217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	PSMD11	O00231	0.0	21437000.0	10232000.0	0.0	0.0	28338000.0	0.0	31537000.0	40406000.0	0.0	0.0	18947000.0	0.0	0.0	0.0
39	PSMD12	O00232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	PGRMC1	O00264	0.0	0.0	12712000.0	0.0	8445600.0	18556000.0	0.0	0.0	0.0	0.0	0.0	10820000.0	12457000.0	0.0	0.0
41	DFFA	O00273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	CLIC1	O00299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	EIF3F	O00303	23088000.0	643300000.0	30334000.0	446820000.0	32739000.0	45917000.0	27361000.0	26498000.0	1067100000.0	366590000.0	0.0	26892000.0	45437000.0	21267000.0	154980000.0
44	WWP2	O00308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	PDHX	O00330	17466000.0	0.0	243840000.0	64120000.0	0.0	21586000.0	0.0	0.0	115050000.0	0.0	488250000.0	0.0	146940000.0	19027000.0	0.0
46	IPO5	O00410	0.0	0.0	13158000.0	0.0	0.0	27364000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	POLRMT	O00411	12239000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12490000.0	13305000.0
48	SAP18	O00422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	IGF2BP3	O00425	83078000.0	37932000.0	79858000.0	0.0	153040000.0	54154000.0	108440000.0	113620000.0	16929000.0	141650000.0	0.0	124540000.0	114820000.0	74893000.0	166090000.0
50	NDUFA4	O00483	28581000.0	38823000.0	30490000.0	0.0	0.0	32218000.0	21327000.0	39178000.0	28839000.0	22031000.0	0.0	0.0	0.0	29314000.0	0.0
51	PSMD14	O00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	KPNA3	O00505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	PES1	O00541	0.0	0.0	0.0	0.0	0.0	11356000.0	0.0	0.0	0.0	0.0	0.0	7265900.0	0.0	0.0	0.0
54	NOP56	O00567	37020000.0	13254000.0	23771000.0	0.0	27179000.0	21162000.0	30012000.0	0.0	0.0	13793000.0	0.0	20608000.0	20901000.0	33396000.0	22507000.0
55	DDX3X	O00571;Q9NQI0	306440000.0	207660000.0	303720000.0	103510000.0	493710000.0	234070000.0	389400000.0	367610000.0	210530000.0	429070000.0	63753000.0	390220000.0	370330000.0	309370000.0	497540000.0
56	PIK3C2B	O00750	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	ARID1A	O14497	0.0	289370000.0	10704000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37420000.0	172030000.0	0.0
58	DPYSL4	O14531	0.0	0.0	0.0	0.0	0.0	11532000.0	0.0	16146000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	DYNC1I1	O14576	84984000.0	0.0	0.0	2116400000.0	0.0	0.0	0.0	407300000.0	876420000.0	0.0	0.0	0.0	0.0	64479000.0	0.0
60	IRS4	O14654	17074000.0	82180000.0	38152000.0	10692000.0	8136200.0	52005000.0	15762000.0	12074000.0	45790000.0	14382000.0	0.0	9779900.0	15812000.0	27403000.0	13456000.0
61	PDCD5	O14737	0.0	22399000.0	0.0	0.0	0.0	36564000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	PRMT5	O14744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	TCERG1	O14776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	POLR3A	O14802;O95602	33094000.0	0.0	0.0	0.0	0.0	22743000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23658000.0	0.0
65	PSMA7;PSMA8	O14818;Q8TAA3	0.0	19356000.0	0.0	0.0	0.0	22587000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	SCAMP3	O14828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	BCKDK	O14874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	GEMIN2	O14893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	GIPC1	O14908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	TIMM23;TIMM23B	O14925;Q5SRD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	HAT1	O14929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	UQCRQ	O14949	0.0	35244000.0	50471000.0	35790000.0	32725000.0	44217000.0	39386000.0	52778000.0	0.0	34488000.0	0.0	0.0	35921000.0	0.0	31588000.0
73	MYL12A;MYL12B	P19105;O14950	153470000.0	121070000.0	103350000.0	0.0	132480000.0	121000000.0	151760000.0	47223000.0	112890000.0	73211000.0	0.0	132140000.0	160370000.0	251550000.0	57641000.0
74	AURKA	O14965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	PPP1R12A	O14974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	HNRNPDL	O14979	93326000.0	35058000.0	116590000.0	0.0	179330000.0	74368000.0	167760000.0	270600000.0	0.0	227340000.0	0.0	152220000.0	173850000.0	82728000.0	318550000.0
77	XPO1	O14980	0.0	10071000.0	0.0	0.0	0.0	0.0	0.0	12366000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	SEC16A	O15027	8090800.0	177730000.0	61755000.0	0.0	0.0	120070000.0	23326000.0	0.0	40771000.0	0.0	0.0	0.0	0.0	0.0	0.0
79	U2SURP	O15042	30338000.0	25365000.0	32817000.0	17326000.0	31330000.0	24814000.0	40201000.0	47910000.0	0.0	39292000.0	0.0	30616000.0	30716000.0	22243000.0	40376000.0
80	PFAS	O15067	0.0	0.0	7316100.0	0.0	0.0	17293000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	LSM1	O15116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	KPNA6;KPNA1;KPNA5	O60684;P52294;O15131	0.0	0.0	0.0	0.0	0.0	34779000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20023000.0
83	ARPC3	O15145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	POLR1C	O15160	0.0	0.0	0.0	0.0	0.0	32864000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46546000.0	0.0
85	TRIM24	O15164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	PFDN6	O15212	0.0	20115000.0	0.0	0.0	15441000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14893000.0	0.0	22076000.0
87	NKRF	O15226	29837000.0	0.0	20811000.0	0.0	30909000.0	17283000.0	37462000.0	10065000.0	0.0	19088000.0	0.0	25017000.0	21159000.0	26302000.0	23555000.0
88	CASC3	O15234	19197000.0	18140000.0	25161000.0	0.0	35667000.0	21323000.0	35538000.0	19829000.0	0.0	26405000.0	0.0	27741000.0	28367000.0	18757000.0	22097000.0
89	MRPS12	O15235	41156000.0	33969000.0	0.0	0.0	33888000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38501000.0	55439000.0	54553000.0
90	OGT	O15294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	PPM1G	O15355	0.0	0.0	0.0	0.0	0.0	24971000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34811000.0	0.0
92	EIF3D	O15371	19462000.0	289690000.0	13447000.0	235810000.0	27498000.0	21303000.0	23067000.0	8063500.0	861550000.0	198240000.0	2880800.0	20032000.0	23626000.0	14772000.0	105140000.0
93	EIF3H	O15372	0.0	413920000.0	0.0	354360000.0	6328600.0	0.0	0.0	0.0	867080000.0	271670000.0	0.0	20976000.0	21156000.0	0.0	101730000.0
94	HDAC3	O15379	0.0	49781000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39096000.0	108230000.0	0.0	0.0	47259000.0	0.0
95	NVL	O15381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	CD3EAP	O15446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	P4HA2	O15460	0.0	0.0	22528000.0	0.0	34332000.0	0.0	0.0	0.0	0.0	0.0	0.0	24286000.0	0.0	0.0	0.0
98	NUPL2	O15504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	DDX3Y	O15523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	DHX15	O43143;O60231	81144000.0	56005000.0	102410000.0	12463000.0	121960000.0	78260000.0	118730000.0	78436000.0	26509000.0	93934000.0	12270000.0	119500000.0	120220000.0	101180000.0	105440000.0
101	RRP8	O43159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	PRPF4	O43172	0.0	0.0	18197000.0	0.0	0.0	0.0	12729000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15414000.0
103	PHGDH	O43175	46992000.0	85179000.0	60332000.0	95000000.0	31485000.0	116770000.0	33106000.0	78178000.0	86053000.0	52533000.0	92897000.0	38875000.0	46938000.0	39612000.0	25691000.0
104	DYNC1LI2	O43237	0.0	0.0	616100000.0	1417900000.0	0.0	0.0	577720000.0	712590000.0	0.0	566220000.0	0.0	0.0	0.0	0.0	0.0
105	PSMD3	O43242	0.0	0.0	0.0	0.0	0.0	18064000.0	0.0	27309000.0	0.0	0.0	0.0	15254000.0	0.0	0.0	0.0
106	RBFOX2	O43251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	ZW10	O43264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	SART1	O43290	14906000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22550000.0	14066000.0
109	DAPK3	O43293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110	EEF1E1	O43324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15367000.0	18675000.0	0.0
111	MSI1	O43347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	HNRNPR	O43390	401630000.0	171680000.0	290200000.0	0.0	507690000.0	252850000.0	409470000.0	645020000.0	140580000.0	724230000.0	84648000.0	436900000.0	388950000.0	250100000.0	793840000.0
113	PRPF3	O43395	13100000.0	0.0	0.0	0.0	0.0	17481000.0	0.0	13394000.0	0.0	0.0	0.0	14183000.0	12128000.0	0.0	0.0
114	EIF4G3	O43432	0.0	13225000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17540000.0	0.0	13844000.0	0.0	0.0	15258000.0
115	DNPH1	O43598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	PLRG1	O43660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	PRC1	O43663	0.0	0.0	0.0	0.0	13944000.0	0.0	14351000.0	0.0	0.0	0.0	0.0	0.0	0.0	17361000.0	0.0
118	ZNF207	O43670	0.0	20095000.0	0.0	0.0	21566000.0	20872000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20796000.0	0.0
119	BUB3	O43684	36258000.0	45980000.0	28426000.0	26100000.0	31242000.0	45669000.0	31381000.0	21249000.0	0.0	28252000.0	0.0	25211000.0	0.0	35513000.0	37444000.0
120	ACTN4;ACTN1	O43707;P12814;P35609;Q08043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	HTATSF1	O43719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	SGTA	O43765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	NARS	O43776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	SPOP	O43791	0.0	0.0	0.0	0.0	11345000.0	0.0	10408000.0	0.0	0.0	0.0	0.0	0.0	0.0	9071200.0	12130000.0
125	MYO1B	O43795;Q9UBC5	14962000.0	0.0	8833000.0	0.0	9605100.0	0.0	13514000.0	0.0	0.0	0.0	0.0	6288100.0	13700000.0	19694000.0	0.0
126	NUDT21	O43809	60085000.0	49099000.0	195830000.0	22181000.0	250350000.0	60263000.0	207090000.0	73621000.0	0.0	80663000.0	14664000.0	234910000.0	244240000.0	60343000.0	71549000.0
127	TIMM8A	O60220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128	PRPSAP2;PRPSAP1	O60256;Q14558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
129	SMARCA5	O60264	12349000.0	0.0	0.0	0.0	0.0	14417000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15712000.0	11419000.0
130	SPAG9	O60271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	ZFC3H1	O60293	20560000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9468700.0	0.0	0.0	0.0
132	KDM1A	O60341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	SYNCRIP	O60506	177380000.0	78187000.0	167350000.0	0.0	222390000.0	114140000.0	197290000.0	258210000.0	0.0	298260000.0	0.0	197520000.0	238440000.0	72774000.0	448210000.0
134	CDC40	O60508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
135	GMDS	O60547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
136	CCNT1	O60563	0.0	42213000.0	0.0	0.0	0.0	71925000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137	BUB1B	O60566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138	EIF4E2	O60573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	CTNND1	O60716	17356000.0	21616000.0	0.0	22881000.0	15397000.0	24288000.0	0.0	24303000.0	25861000.0	19971000.0	0.0	20166000.0	0.0	0.0	21603000.0
140	SNX2	O60749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	DPM1	O60762	0.0	31675000.0	61040000.0	60858000.0	0.0	38464000.0	46722000.0	42700000.0	0.0	0.0	0.0	31367000.0	38069000.0	55446000.0	0.0
142	MRPS14	O60783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24616000.0	0.0	27608000.0
143	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK	Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	DKC1	O60832	20990000.0	0.0	0.0	0.0	21491000.0	0.0	0.0	19515000.0	0.0	25442000.0	0.0	24618000.0	0.0	24358000.0	33083000.0
145	EIF5B	O60841	156120000.0	97950000.0	146690000.0	198330000.0	104090000.0	113590000.0	115490000.0	0.0	0.0	104870000.0	0.0	101630000.0	91729000.0	218990000.0	106710000.0
146	EDF1	O60869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147	DIAPH2	O60879	0.0	35196000.0	0.0	0.0	0.0	26740000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
148	DNAJA2	O60884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
149	TBL1X	O60907	0.0	48453000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47922000.0	155890000.0	0.0	0.0	68366000.0	30096000.0
150	PFDN1	O60925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	DTNB;DTNA	O60941;Q9Y4J8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152	ABCB7	O75027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	WDR1	O75083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
154	CLASP2	O75122	10845000.0	0.0	0.0	0.0	0.0	9453100.0	0.0	0.0	0.0	0.0	0.0	7066000.0	0.0	9334700.0	8239300.0
155	PTCD1	O75127	0.0	0.0	41378000.0	0.0	68792000.0	0.0	32382000.0	0.0	0.0	0.0	0.0	53226000.0	60647000.0	0.0	0.0
156	CPNE3	O75131;Q96FN4;Q8IYJ1;Q96A23;O95741;Q86YQ8;Q9HCH3;Q9UBL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
157	ZC3H11A	O75152;P0DQW0;A0A8V8TLD8	10669000.0	6092800.0	16235000.0	0.0	20753000.0	0.0	22225000.0	11386000.0	0.0	12085000.0	0.0	23900000.0	20562000.0	11683000.0	14246000.0
158	CLUH	O75153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
