PG.ProteinGroups	PG.Genes	PG.ProteinNames	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.NrOfPrecursorsIdentified	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.NrOfPrecursorsIdentified	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.NrOfPrecursorsIdentified	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.NrOfPrecursorsIdentified	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.NrOfPrecursorsIdentified	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.NrOfPrecursorsIdentified	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.NrOfPrecursorsIdentified	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.NrOfPrecursorsIdentified	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.NrOfPrecursorsIdentified	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.NrOfPrecursorsIdentified	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.NrOfPrecursorsIdentified	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.NrOfPrecursorsIdentified	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.NrOfPrecursorsIdentified	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.NrOfPrecursorsIdentified	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.NrOfPrecursorsIdentified	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.Quantity	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.Quantity	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.Quantity	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.Quantity	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.Quantity	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.Quantity	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.Quantity	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.Quantity	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.Quantity	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.Quantity	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.Quantity	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.Quantity	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.Quantity	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.Quantity	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.Quantity	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.IBAQ	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.IBAQ	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.IBAQ	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.IBAQ	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.IBAQ	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.IBAQ	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.IBAQ	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.IBAQ	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.IBAQ	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.IBAQ	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.IBAQ	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.IBAQ	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.IBAQ	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.IBAQ	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.IBAQ
O75012	MRP10	MRP10_YEAST	3	2	2	3	7	5	1	2	3	2	5	4	7	3	7	18698.720703125	11943.541015625	8256.248046875	13208.73046875	1279788.25	245538.3125	11535.916015625	10838.9208984375	9564.736328125	16192.07421875	289386.15625	15605.478515625	679284.6875	9652.2578125	469486.90625	9677.1	7339.9	2874.5	8959.1	1126162.5	224583.3	3132.1	3776.1	7231.4	8409.1	260488.2	12810.2	635998.7	5432	463595.7
O94742	SEM1	SEM1_YEAST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	101111.3515625	114540.5703125	69473.359375	110417.5703125	90206.3828125	117981.90625	74914.9140625	133026.65625	103612.5546875	116627.5	139984.921875	121139.359375	80795.859375	70925.1875	69608.0703125	25277.8	28635.1	17368.3	27604.4	22551.6	29495.5	18728.7	33256.7	25903.1	29156.9	34996.2	30284.8	20199	17731.3	17402
P00044	CYC1	CYC1_YEAST	8	8	7	8	8	8	6	8	8	8	8	8	8	8	8	211490.46875	188581.609375	89161.265625	151043.921875	153393	295131.375	108215.8359375	308701.90625	253141.125	268380.96875	310969.8125	284276.46875	313589.53125	146036.546875	129467.265625	201890.4	185380.8	74971.9	140758	166693.3	273345.1	93125.5	284935.9	234335.7	255324.3	287446	269256.9	288034.2	128492.8	112670.2
P00127	QCR6	QCR6_YEAST	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	87969.96875	95511.8671875	71944.5859375	63174.09765625	89658.921875	113598.6015625	84269.5625	109421.1171875	97833.109375	96901.1796875	102104.9140625	75874.515625	139064.890625	73290.9453125	66769.59375	44829.5	44964.6	35421.9	30386	41541.5	55847.7	39934.8	54873.5	49832.8	52378.5	54977.1	42160.7	62511.6	36161.6	32034.9
P00128	QCR7	QCR7_YEAST	14	15	14	15	12	16	14	14	14	16	16	16	14	15	14	100313.4609375	94517.7890625	67162.921875	136399	72248.1484375	190057.5625	67895.640625	138452.5	115850.625	133683.6875	156208.96875	133863.796875	169165.828125	91618.34375	83364.90625	423870.3	224836.4	222712.7	466769.8	136688.8	589870.7	255320.1	576691.4	442846.9	673420.5	476489.7	524219	579123.3	306382.3	306158.4
P00163;P03873;P03879;Q9ZZW7	COB;bI2;bI4;bI3	CYB_YEAST;MBI2_YEAST;MBI4_YEAST;MBI3_YEAST	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	12510.326171875	NaN	6866.33056640625	NaN	27287.2109375	NaN	NaN	NaN	NaN	8478.8515625	12563.0869140625	14974.2626953125	8886.111328125	NaN	NaN	2085.1;735.9;521.3;625.5	NaN	1144.4;403.9;286.1;343.3	NaN	4547.9;1605.1;1137;1364.4	NaN	NaN	NaN	NaN	1413.1;498.8;353.3;423.9	2093.8;739;523.5;628.2	2495.7;880.8;623.9;748.7	1481;522.7;370.3;444.3	NaN	NaN
P00175	CYB2	CYB2_YEAST	7	4	7	8	4	8	5	7	8	8	9	8	9	7	7	107884	74314.890625	56144.63671875	70841.84375	43516.24609375	135839.484375	61783.40625	120218.1953125	101580.3828125	74416.6328125	163493.53125	71893.3125	119337.7578125	72019.5625	51236.2109375	10893.8	6749.8	5684.8	10148.4	3910.6	16986	6900.3	11787.8	12239.8	8746.3	16851.3	7985.5	15624.5	8493.5	6082
P00330	ADH1	ADH1_YEAST	70	66	72	72	69	74	69	71	72	71	72	70	71	74	73	9149515	9342153	6940981.5	10008921	8823037	12529138	8408868	10522580	9349740	12702652	12846485	12886949	13147314	10238304	9247415	12770426.5	13898743.3	9633029.1	13978034.9	13527715	16621750	12582651.4	15358297.8	13838982.1	17582025.8	17229315.9	17810761.3	18592334.1	13524570.1	12505827.5
P00331	ADH2	ADH2_YEAST	28	23	24	24	18	25	22	25	27	24	29	23	25	25	25	1922403.75	1030027.3125	685984.8125	1487904.125	510857.46875	2777858.5	799210.5	2405989.25	1785279.75	661165	2179683	632223.125	2658899	1140228.875	674250.75	1376933.4	804862.7	465321.3	1022691.8	363870.5	1815375	576804.1	1723407.1	1414956.8	468476.3	1687658.2	435856.5	1821443.6	789359.7	461054.8
P00358	TDH2	G3P2_YEAST	66	61	66	66	64	66	65	63	64	66	63	65	67	68	67	23049514	21592316	19930894	19736314	21430278	20125058	24752354	22556130	25469374	21948646	24799536	22505200	20927506	20198036	20533740	13240318.6	13621665.8	10807609.1	10379872.3	13334106.1	11030577.8	14175139.1	13132622.2	15292895.7	12801727.2	13986821.8	13047052.1	11892421.6	10649492.2	11318735.3
P00359	TDH3	G3P3_YEAST	39	29	40	38	35	40	35	31	33	39	40	37	38	40	40	6987526	7049996	6240433	6272963.5	6039970	6836381	6466769	6441278	7827155.5	7080010	8417259	7693240	7229320.5	6209807	6807970.5	4860310.6	5064381.1	4204865.2	4161990	3746586.1	4084832.3	4804008.8	4428176.1	5261228.8	4525174.4	5288085.2	5243397.1	5030319.1	3904230.7	4721215.6
P00360	TDH1	G3P1_YEAST	57	49	52	50	47	53	52	49	56	50	56	49	52	54	52	20052302	16480677	14780580	18306350	14178985	23569738	16904516	23296354	22360384	16737318	24455402	17051726	22547318	18240058	17473590	11510143.2	12308532.4	8495589.2	9977228.1	11331611.9	10804821.7	12109870	13244313.2	14246688.9	11997559	13357598.7	11895380.8	12312480.5	9222713.3	9765646
P00401	COX1	COX1_YEAST	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	97429.1640625	115499.375	194202.71875	154379.96875	220605.890625	251607.609375	123521.0859375	143374.71875	141595.609375	231285.421875	223345.96875	215258.765625	187693.0625	228241.59375	157911.640625	17361.4	21187.7	30515.9	26772	31282.2	38477.4	17579.7	18577.8	18347.3	36421.6	29208.9	34178.6	34118.2	32841.7	28612.8
P00410	COX2	COX2_YEAST	11	10	10	11	8	10	11	10	10	10	9	8	11	10	11	255512.203125	287160.1875	339948.25	353058.25	316028	360081.90625	379002.78125	476107.875	334921.40625	330566.59375	298099.75	247748.28125	377276.8125	344753.59375	359102.375	127924.7	142637.8	156943.3	162382.6	155879.8	173542.6	174628.5	211684.1	171419	155783.4	143284.5	126904.7	176503.4	177337.3	192837.6
P00424	COX5A	COX5A_YEAST	7	7	7	6	5	7	6	7	7	6	6	6	6	6	6	211045.90625	222937.53125	191983.921875	305350.25	180865.515625	349061.375	158790.203125	294590.0625	204219.453125	213535.015625	254628.390625	245314.25	337285.09375	205231.484375	189605.375	102288.8	102470.2	91850	140635.8	82246.3	167837.9	75237.8	134657.2	95359.3	94773.1	124645.6	121563.6	152046.9	95710.8	89071.8
P00427	COX6	COX6_YEAST	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	199397.25	246939.078125	76480.5078125	251930.8125	177807.359375	369343.5	160094.78125	338258.03125	220463.15625	339561.125	375248.75	334281.78125	418289.65625	187014.234375	160086.875	154521.1	201821.4	63672	187381.7	143443	289723.8	120942.2	273282.8	175648.2	274775.2	292155.2	260461.3	321294.3	134412.2	123986.5
P00431	CCP1	CCPR_YEAST	6	5	4	6	4	6	5	5	6	6	6	6	6	5	6	69012.9609375	55223.8046875	28785.888671875	54720.05078125	39331.1171875	79881.625	45010.76953125	74879.140625	79085.4609375	70583.0625	106868.640625	72833.046875	70282.78125	45085.61328125	30739.728515625	17114.9	12358.2	5634.6	14146.1	6490.4	21363.9	10932.7	16797.8	19422.6	18305.4	27366.4	16835.4	17220.7	10189.2	7545.7
P00445	SOD1	SODC_YEAST	23	22	18	25	25	25	19	25	24	21	25	20	23	21	20	922540.1875	1280565.875	133646.15625	2468304.5	7086446	694352.4375	223088.734375	7265790.5	3335982.25	502312.65625	2196815.75	520921.96875	497487.5625	233471.09375	203549.59375	561185.8	885642.6	91159.2	1439109.8	4473401.1	445331.2	153957.8	4408986.8	2197523.2	353311.3	1387891.6	354012.3	333789.8	155278.1	150776.8
P00447	SOD2	SODM_YEAST	5	4	5	5	4	5	5	5	5	5	5	4	5	4	5	232045.9375	181233.78125	184878.8125	132662.28125	119791.2578125	162888.65625	238830.9375	259201.625	257618.890625	112427.9609375	181682.078125	109620.3515625	178413.375	156250.734375	136981.640625	54277.3	63746.7	48811.2	35746.1	50863.5	40428.8	55454.6	52214.9	59863.5	27980.2	85794.9	22900.4	44361.7	34571.8	32748.2
P00498	HIS1	HIS1_YEAST	18	14	20	17	16	17	18	13	17	16	15	18	15	21	21	167818.375	153717.96875	384469.71875	208957.0625	238563.53125	195217.21875	309479.3125	162590.828125	218215.625	132488.59375	105764.328125	125170.203125	147585.71875	364213	349638.78125	104906.6	98078.2	238079.8	132294	145242.8	121437.3	181735.6	92067.2	138335.7	82279	64167.9	79595.6	91069.5	232138.2	219681.3
P00546	CDC28	CDK1_YEAST	15	13	16	15	13	13	13	15	12	16	11	13	15	16	14	134831.75	123934.546875	154173.5	149551.390625	137732.5	107116	164820.234375	148654.15625	115163.984375	76426.28125	78514.34375	71927.1796875	105216.640625	121286.125	124685.9140625	54018	45571.9	64909.4	59447.2	54077.6	38630	63053.5	60494.4	40052.1	28484.7	27222.7	28633.6	41740.4	47557.8	49395
P00549	CDC19	KPYK1_YEAST	115	112	118	119	111	114	116	113	117	114	116	115	116	119	118	10060251	9864205	11440358	9754794	11412617	9332067	12337670	9527748	11453683	9318266	10336918	9882918	8981953	10650566	11287713	11791901.1	11723347.4	12585155.6	11391424	13211778	10629191.6	14246985.7	11095223.7	13167248.9	11251262.7	11678098	11567718.1	10666295.1	11797880.4	12497406.6
P00560	PGK1	PGK_YEAST	112	104	107	113	105	115	108	105	110	115	113	112	114	116	113	9037579	8446815	4919349	5848320.5	7546908.5	9715882	6577043	8903034	9909162	10505403	10955093	10596886	9976896	7046949	6799006.5	9425287.9	9209245.4	5135673.4	5923800.2	8122535.4	9554851.2	6869160.4	8991893.5	10359005.2	10490203.5	10684393.1	10641668	10254155.8	6853624.2	6951053.3
P00572	CDC8	KTHY_YEAST	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	15851.353515625	26174.57421875	32912.75390625	NaN	NaN	NaN	13246.0791015625	20128.228515625	30760.802734375	NaN	14321.025390625	NaN	24425.052734375	31011.53125	23968.205078125	1761.3	2908.3	3657	NaN	NaN	NaN	1471.8	2236.5	3417.9	NaN	1591.2	NaN	2713.9	3445.7	2663.1
P00724;P00724-2	SUC2	INV2_YEAST	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	34509.79296875	19452.912109375	30759.798828125	48746.67578125	NaN	167013.625	15648.580078125	129549.0390625	23015.060546875	45006.5859375	20114.04296875	40553.609375	168586.28125	52676.55078125	22012.26171875	1278.1;1327.3	720.5;748.2	1139.3;1183.1	1805.4;1874.9	NaN	6185.7;6423.6	579.6;601.9	4798.1;4982.7	852.4;885.2	1666.9;1731	745;773.6	1502;1559.8	6243.9;6484.1	1951;2026	815.3;846.6
P00729	PRC1	CBPY_YEAST	4	2	3	4	3	4	2	2	3	3	3	3	3	3	4	47115.703125	39093.265625	16802.6328125	37562.1953125	14572.84765625	67903.4453125	23132.29296875	55230.01171875	57245.08203125	24746.990234375	55390.8125	26570.255859375	34575.82421875	25730.716796875	20026.4921875	6567.6	4322.6	2255.4	5046.4	1336.5	9208.3	2654.4	4673.3	7058.8	2988.1	6422.7	5774.5	4882.1	3126	2777.6
P00812	CAR1	ARGI_YEAST	10	10	10	10	8	10	9	8	10	10	10	10	10	10	10	211530.3125	150271.578125	101847.609375	208495.625	203472.65625	290418.03125	161863.453125	304862.84375	229627.3125	173942.25	204107.28125	205096.0625	345146.15625	202566.890625	131322.15625	52987.2	37522.9	27891.2	55077.8	46848.4	71339	43272.2	75040.3	66734.6	41237.4	53172.9	46785.2	84690.6	51022.8	35835.2
P00815	HIS4	HIS2_YEAST	55	51	57	55	54	54	55	55	55	55	51	55	54	58	56	308571.53125	287178.9375	319569.8125	321203.34375	338607.78125	295844.25	356617.5625	289259.125	328803.65625	282648.5	299004.875	339232.3125	322101.875	341307.65625	354744.84375	217999	195368.5	211381.1	220459.3	233192.6	200993.1	244950.9	200699.9	232734.2	194589.2	213942.9	238249.3	220001.7	223352.2	238477.8
P00817	IPP1	IPYR_YEAST	33	33	34	34	31	33	32	33	35	34	34	34	35	35	33	792543.9375	750552.6875	518746.65625	587361.25	652984.6875	846711.125	616829.1875	919056.3125	800444.875	852213	832133.6875	817475.6875	843571.375	572380.6875	597916.6875	652456.3	621258.8	420726.9	482417.8	524286.6	690380.4	507380.4	723343.9	685193.8	703597.1	708489.4	689338.4	725501.6	467382.9	481027.5
P00830	ATP2	ATPB_YEAST	51	44	53	52	46	53	50	53	49	49	54	53	53	55	54	2456066.25	2457300.75	1812912.625	2889567.5	2289425	4266235.5	2203152	4051144	2688004.5	2865476.75	3517254	2838666.75	4332971.5	2696176.25	2129263	990676.7	998111.8	719576.9	1168813.6	970479.9	1756314.7	928266.8	1619389.8	1139902.6	1166981.8	1417821	1165333.1	1830758	1115175.3	917818.6
P00890	CIT1	CISY1_YEAST	29	26	27	33	26	32	27	30	30	30	31	30	33	31	32	600378.25	482577.71875	328196	723293.0625	407410.875	1631814.125	379615.21875	1548437.125	684724.625	629696.8125	600724.625	627696.6875	1627011.375	645911.5	353062.53125	211403.6	163135.5	114110.8	250892.4	154926.2	569569.3	135891.7	538616.8	244125	214326.5	209620.3	224049.1	575604.1	234673.7	128059.2
P00899	TRP2	TRPE_YEAST	14	13	14	14	13	14	13	11	11	14	14	14	14	14	14	148608.140625	124373.5390625	140100.46875	154422.28125	134629.484375	165210.03125	141111.234375	155978.59375	153713.640625	178199.34375	168875.28125	186824.21875	166013.765625	164602.78125	166440.90625	38009	34212.4	37213.8	40040.2	36417.1	42825.9	36157.1	35929.4	37457.6	48841	46498.9	53046.1	39974	44193.3	44425.2
P00912	TRP1	TRPF_YEAST	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6246.076171875	NaN	NaN	8405.2861328125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	567.8	NaN	NaN	764.1	NaN
P00924	ENO1	ENO1_YEAST	65	64	61	63	61	63	63	61	63	64	65	62	63	63	62	17900972	14429066	8304506.5	14483820	11000230	20878826	11090939	19998376	18007746	16738834	23523026	17749422	21506272	12942054	11349189	7914230.9	7478647	3896915.9	6808968.8	6263495	9079917.7	5289134.7	8588468.1	8254117.1	8981111.8	11040235.2	9412632.9	9687832.5	5822940.7	5579847.4
P00925	ENO2	ENO2_YEAST	65	59	64	65	62	65	62	60	62	65	65	65	65	64	64	8006541	8427520	4361619.5	6991805	7182291	9294557	6534276.5	8943055	8925778	10503480	11024341	10329107	9841496	6994290.5	6327001	6253215.9	7441191.1	3606951.8	5825590.3	6312740.6	7539650	6003883	7668521.5	7611318.5	8457394.3	9004865.9	8098835.8	7871334.6	5426581.8	5233204.9
P00927	ILV1	THDH_YEAST	40	35	42	40	37	39	41	35	35	40	34	40	35	41	42	585507.375	597343.1875	845435.625	759498.9375	777999.625	557238.1875	851252.75	620896.125	536305.5	539348.75	481898.71875	559255.5625	559696.5625	812427.4375	789031	158727.6	148382.2	225632.4	203589.9	196662.1	151503.6	221985.4	159746.4	135217.2	144546.1	125954	154046.8	141146.1	219879.1	211731.3
P00931	TRP5	TRP_YEAST	41	37	43	39	39	42	39	37	41	40	39	41	38	42	42	239490.84375	208318.5625	278837.625	229043.3125	230522.6875	237898.9375	264983.5625	214020.359375	253338.234375	231627.609375	214831.453125	236328.125	227824.1875	272815.21875	274016.8125	125208	99031.4	145698.9	116168	118507.2	125857.7	132447.4	105291.7	128237	119709.4	106405.3	124800.8	114232.2	142593.7	145653.7
