PG.ProteinGroups	PG.Genes	PG.ProteinNames	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.NrOfPrecursorsIdentified	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.NrOfPrecursorsIdentified	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.NrOfPrecursorsIdentified	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.NrOfPrecursorsIdentified	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.NrOfPrecursorsIdentified	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.NrOfPrecursorsIdentified	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.NrOfPrecursorsIdentified	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.NrOfPrecursorsIdentified	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.NrOfPrecursorsIdentified	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.NrOfPrecursorsIdentified	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.NrOfPrecursorsIdentified	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.NrOfPrecursorsIdentified	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.NrOfPrecursorsIdentified	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.NrOfPrecursorsIdentified	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.NrOfPrecursorsIdentified	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.Quantity	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.Quantity	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.Quantity	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.Quantity	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.Quantity	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.Quantity	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.Quantity	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.Quantity	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.Quantity	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.Quantity	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.Quantity	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.Quantity	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.Quantity	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.Quantity	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.Quantity	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.IBAQ	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.IBAQ	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.IBAQ	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.IBAQ	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.IBAQ	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.IBAQ	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.IBAQ	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.IBAQ	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.IBAQ	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.IBAQ	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.IBAQ	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.IBAQ	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.IBAQ	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.IBAQ	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.IBAQ
O75012	MRP10	MRP10_YEAST	3	2	2	3	7	5	1	2	3	2	5	4	7	3	7	4360.7041015625	626.7577514648438	1679.9083251953125	3544.530517578125	186673.390625	30026.763671875	3283.27783203125	5086.50390625	3921.034912109375	4747.39111328125	37998.53515625	5580.3828125	86487.96875	4768.41357421875	53638.74609375	2280.7	1925.5	609.6	1785.1	105466.6	17513.3	1191.5	1845.9	2384.2	2310	21370.8	3255.1	51866.6	3091.3	32614.5
O94742	SEM1	SEM1_YEAST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6416.52685546875	8538.609375	4615.3916015625	7580.28125	5264.10986328125	8011.69287109375	4571.47998046875	8974.2978515625	7164.36962890625	9579.3564453125	10460.7001953125	7016.53076171875	7351.47412109375	4023.32666015625	3623.327392578125	1604.1	2134.7	1153.8	1895.1	1316	2002.9	1142.9	2243.6	1791.1	2394.8	2615.2	1754.1	1837.9	1005.8	905.8
P00044	CYC1	CYC1_YEAST	8	8	7	8	8	8	6	8	8	8	8	8	8	8	8	13769.10546875	9109.0849609375	5716.06982421875	8905.8583984375	9273.658203125	15343.9306640625	7295.693359375	15867.3173828125	11121.65625	14424.9208984375	14132.111328125	15243.77734375	18273.876953125	7295.5234375	6094.470703125	11492.8	7033.1	3881	7601.3	7198.9	12695.8	5320.3	11752.9	9171.5	13820.1	12602.1	12449.7	15009.6	7033.3	4997.9
P00127	QCR6	QCR6_YEAST	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1342.6356201171875	1638.181884765625	1651.8929443359375	1856.0498046875	1405.81689453125	2166.4384765625	1760.597412109375	1837.71044921875	2053.523681640625	2074.298095703125	2152.04150390625	2116.472900390625	2811.26611328125	1266.9105224609375	2245.395263671875	569	626	638.8	688.8	611.6	895.4	834.6	823.6	833.7	879.4	928	888.9	1136.4	571.8	1026.4
P00128	QCR7	QCR7_YEAST	14	15	14	15	12	16	14	14	14	16	16	16	14	15	14	14872.650390625	14593.7392578125	8083.7998046875	16397.673828125	11716.2763671875	24517.486328125	7993.69775390625	17928.96875	16440.078125	18710.06640625	23159.423828125	17782.01171875	22832.228515625	12563.9521484375	10926.2978515625	14653.1	17046.8	9239.8	18430.9	10132.7	28639.1	6953	16896.1	14666.6	24388.1	27314.7	22620.7	27980.4	15912.4	13596.6
P00163;P03873;P03879;Q9ZZW7	COB;bI2;bI4;bI3	CYB_YEAST;MBI2_YEAST;MBI4_YEAST;MBI3_YEAST	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1431.4373779296875	NaN	653.2011108398438	NaN	864.6396484375	NaN	NaN	NaN	NaN	1031.564697265625	1388.03515625	442.4582824707031	1169.2293701171875	NaN	NaN	238.6;84.2;59.6;71.6	NaN	108.9;38.4;27.2;32.7	NaN	144.1;50.9;36;43.2	NaN	NaN	NaN	NaN	171.9;60.7;43;51.6	231.3;81.6;57.8;69.4	73.7;26;18.4;22.1	194.9;68.8;48.7;58.5	NaN	NaN
P00175	CYB2	CYB2_YEAST	7	4	7	8	4	8	5	7	8	8	9	8	9	7	7	10789.5732421875	6275.4736328125	3869.585205078125	10343.0654296875	5323.06396484375	12626.935546875	7296.8984375	15577.64453125	11577.2822265625	8103.91845703125	13380.5966796875	8281.236328125	14635.078125	7215.7421875	5838.82421875	1079.4	577.1	515.6	1223.7	466.8	1405.2	634.7	1399.9	1239	839.3	1551.7	852.5	1679.4	754.9	595.3
P00330	ADH1	ADH1_YEAST	70	66	72	72	69	74	69	71	72	71	72	70	71	74	73	937812.875	1021381.75	721967.625	1070532.875	932206.5	1315636	885258.125	1151351.75	973164.375	1358105.25	1385614.75	1349838.5	1413113.5	1028781.8125	964147.0625	915118.5	1026559.9	691552.3	995802.3	973435.1	1212641.9	874544.8	1142093	1028798.6	1282600.3	1251649.8	1241046.7	1373040.7	936189.4	894135.3
P00331	ADH2	ADH2_YEAST	28	23	24	24	18	25	22	25	27	24	29	23	25	25	25	134597.78125	69356.390625	52329.875	110657.71875	38574.1171875	191356.15625	54693.58984375	179608.28125	123642.1171875	54471.71484375	152705.140625	50039.203125	192520.34375	76920.8359375	49171.171875	74138.8	41803	27203.2	60092.4	22363.8	104300.9	32381.2	98715.3	75324.1	32119.7	89647.2	28793.7	107051.3	46985.4	27928.6
P00358	TDH2	G3P2_YEAST	66	61	66	66	64	66	65	63	64	66	63	65	67	68	67	1179808.125	1152542.625	980225.875	974342.0625	1088819.875	971596.8125	1277777.375	1228074.75	1305121.875	1089067.875	1226405.625	1129463.875	1041422.0625	915943.6875	1054708.375	555264.4	598899.8	430285.3	419604.6	601516.4	449148.6	589412.5	584001.4	670322.6	525953.9	566376.2	539372.6	513293.4	402712.5	451956.7
P00359	TDH3	G3P3_YEAST	39	29	40	38	35	40	35	31	33	39	40	37	38	40	40	165513.671875	154581.328125	133310.8125	146074.671875	140079.53125	157205.625	147392.8125	145931.265625	160833.234375	155102.078125	181628.859375	161915.375	160989.96875	148825.421875	152948.875	112018.9	115293.6	95351.5	97497.3	116673.9	95085.1	139578.4	106233.2	129167.8	115408.1	122760.9	115436.8	108810.6	104536.8	126714.7
P00360	TDH1	G3P1_YEAST	57	49	52	50	47	53	52	49	56	50	56	49	52	54	52	3105564.5	2752216.5	2155527.25	2529560.5	2378507.25	3159543.75	2549993	3494055.25	3524512.25	2587955.75	3462707.5	2534837.25	3399402	2510135	2445756.25	984466.6	1143138.5	750621.9	844572.7	1093077.5	921990.6	1020919.1	1219674	1265636.7	1039106.4	1185440.4	1093710	1099704.4	865386.3	903833.8
P00401	COX1	COX1_YEAST	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3786.315673828125	4205.85498046875	4872.625	5389.74267578125	4057.4267578125	7609.52490234375	6034.77099609375	5453.00244140625	4597.5341796875	4967.37060546875	6442.79638671875	4191.4892578125	6976.234375	4634.88623046875	3721.49072265625	586.9	492.7	644.8	812.1	510.8	932.4	754.1	824.4	538.5	812.1	820.8	729.8	1070.3	673.6	556.2
P00410	COX2	COX2_YEAST	11	10	10	11	8	10	11	10	10	10	9	8	11	10	11	12194.49609375	11891.974609375	14626.2158203125	13565.068359375	8473.359375	15119.1416015625	12366.814453125	17714.953125	12845.029296875	11932.96484375	14673.74609375	11642.2880859375	15513.9609375	16156.830078125	11496.4111328125	9065.3	8067.1	8915.9	10557.8	4950.3	10800.9	8324.6	11664.1	8228.8	8087.2	10306.2	7326.3	10694.5	11173.5	8012.9
P00424	COX5A	COX5A_YEAST	7	7	7	6	5	7	6	7	7	6	6	6	6	6	6	6283.48193359375	7213.2041015625	4342.82421875	6395.99365234375	5923.4990234375	8600.7744140625	4311.97314453125	10721.59375	6564.82177734375	6153.31982421875	8843.4599609375	5871.74072265625	9438.21484375	4341.20654296875	3992.177734375	3245.4	3863.4	2247.9	2917.2	2576	4544.2	1809.5	5407.1	3326.2	2433.1	3535	2594.5	3888.1	1704.1	1773.9
P00427	COX6	COX6_YEAST	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	15511.9755859375	19222.771484375	6857.9658203125	18612.826171875	15088.95703125	28552.134765625	11161.7724609375	28778.4140625	19453.138671875	25894.708984375	28936.72265625	25372.03125	29961.82421875	15722.9033203125	13450.552734375	9692.4	12258.7	4234.3	12618.6	9184.4	18737.1	6971.5	18563.8	11679.5	16978	18801.5	16412.3	19457.1	9679.5	8106.8
P00431	CCP1	CCPR_YEAST	6	5	4	6	4	6	5	5	6	6	6	6	6	5	6	3824.0498046875	1729.2027587890625	1345.760498046875	2066.182373046875	2022.797119140625	3179.6259765625	1333.094482421875	2416.8857421875	4108.3525390625	4175.21337890625	5316.85546875	3946.399169921875	3917.50537109375	1484.195068359375	1293.1416015625	819.4	331.3	239.1	419.1	228	673.1	221.8	483.7	785.4	886.1	1071.6	794.3	804.6	323.3	272
P00445	SOD1	SODC_YEAST	23	22	18	25	25	25	19	25	24	21	25	20	23	21	20	54621.8125	74994.6484375	6840.93359375	140283.0625	410207.375	35016.72265625	11151.58203125	442462.40625	198137.265625	30481.216796875	121443.546875	24386.005859375	26459.400390625	13117.974609375	12028.216796875	21903.7	33073	2964.8	57485.3	201910.2	14983.1	5110.7	196723.5	95616.7	13456.3	50711	11434.8	12150.2	6057.2	5446.5
P00447	SOD2	SODM_YEAST	5	4	5	5	4	5	5	5	5	5	5	4	5	4	5	13787.5849609375	7663.27783203125	10625.25390625	7399.79638671875	9968.40234375	9077.5341796875	11132.5859375	9369.421875	9246.546875	3685.3076171875	5616.93017578125	5915.23486328125	12909.318359375	9504.8583984375	7709.7060546875	3549.6	5901.4	2460.7	2095.7	2464.6	2243.5	5211.7	2246	2065.5	828.3	1019	1280.4	3212	2100.6	2025.3
P00498	HIS1	HIS1_YEAST	18	14	20	17	16	17	18	13	17	16	15	18	15	21	21	16627.51953125	11614.689453125	33171.90625	18469.443359375	22082.310546875	19408.09375	27887.525390625	14908.79296875	20174.68359375	12639.9619140625	9278.24609375	13234.068359375	14622.298828125	34290.7265625	32186.69921875	6684.8	4454.2	13415.3	8039.7	8348.1	9688.6	10965	5346.8	7902.1	6069.7	4214.2	6253.8	7226.5	15443.4	13480.1
P00546	CDC28	CDK1_YEAST	15	13	16	15	13	13	13	15	12	16	11	13	15	16	14	18125.59765625	14268.22265625	20280.66796875	21021.97265625	16682.146484375	14887.609375	21839.240234375	16848.6171875	16381.1015625	9824.1318359375	10693.7333984375	11928.2626953125	17617.34375	15715.8115234375	16103.8564453125	5775	4333.2	5849.7	5955.7	5074.8	4180.5	6062.7	4400.4	3966.9	3152.2	2512	3338.3	6203.9	5311	4801.9
P00549	CDC19	KPYK1_YEAST	115	112	118	119	111	114	116	113	117	114	116	115	116	119	118	705084.25	697356.125	745411.6875	675510.5	774728.125	645497.5625	823740.5625	656636.625	792196.4375	634303.0625	674945.375	666963.5625	614652.3125	691126.1875	736738	777055.7	763117.5	804673.1	753946.8	878783.3	721345.8	897008.6	744109	907978.4	761471.2	773110.4	775348	728231	811446.1	815376.6
P00560	PGK1	PGK_YEAST	112	104	107	113	105	115	108	105	110	115	113	112	114	116	113	661552.8125	639321.3125	360560.84375	425380.625	565097.25	707264	472321.78125	662604	760684	758648.75	783930.0625	743916.0625	723286.625	523657.84375	500161.6875	521204.8	514635.8	295456.3	321369.2	455372.7	509806	373800.4	502652.9	596322.7	593326.9	578906.8	587048.4	583667.9	379129.5	395884.7
P00572	CDC8	KTHY_YEAST	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1545.593505859375	535.51123046875	2341.70361328125	NaN	NaN	NaN	1919.6607666015625	2461.525146484375	2155.76220703125	NaN	1224.0712890625	NaN	343.56182861328125	1815.43310546875	374.0971374511719	171.7	59.5	260.2	NaN	NaN	NaN	213.3	273.5	239.5	NaN	136	NaN	38.2	201.7	41.6
P00724;P00724-2	SUC2	INV2_YEAST	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2363.59814453125	1853.8392333984375	2077.908203125	3391.334716796875	NaN	9889.91796875	1063.3895263671875	8168.0234375	622.3414916992188	2619.56396484375	1496.7064208984375	2754.12255859375	9572.04296875	4560.97265625	2954.62548828125	87.5;90.9	68.7;71.3	77;79.9	125.6;130.4	NaN	366.3;380.4	39.4;40.9	302.5;314.2	23;23.9	97;100.8	55.4;57.6	102;105.9	354.5;368.2	168.9;175.4	109.4;113.6
P00729	PRC1	CBPY_YEAST	4	2	3	4	3	4	2	2	3	3	3	3	3	3	4	6116.34130859375	7401.70166015625	2150.712158203125	2957.654296875	2137.3466796875	4756.796875	578.4332885742188	4928.9658203125	5964.87451171875	5629.9541015625	6643.818359375	6143.71044921875	9733.7080078125	4535.1474609375	2889.931640625	668.9	185.6	168.2	281.8	285.2	583.7	77.6	428.6	486	723.8	672.5	645.3	749.4	201.4	306.4
P00812	CAR1	ARGI_YEAST	10	10	10	10	8	10	9	8	10	10	10	10	10	10	10	18999.62109375	16088.5302734375	9047.4189453125	17398.04296875	14518.37890625	28567.443359375	16465.529296875	29409.5234375	22030.162109375	16180.4384765625	19399.427734375	17834.314453125	30373.921875	16133.6923828125	12739.2314453125	3869.1	3080.4	2070.6	3588.7	2888.8	5588.3	3417.1	5964.9	4694.8	3449.7	4060.5	3440.5	6571.4	3760.1	2533.8
P00815	HIS4	HIS2_YEAST	55	51	57	55	54	54	55	55	55	55	51	55	54	58	56	8265.5478515625	7611.58056640625	9118.6455078125	8703.5087890625	8957.3876953125	8479.814453125	9664.5615234375	7692.10302734375	9770.3759765625	7778.38330078125	7447.68603515625	9680.5869140625	9496.3291015625	9744.73046875	9731.365234375	8434.2	7467.7	9148.7	8630.6	9294.8	8409.3	9619.9	7004	9589.6	8042.6	7470.7	9149.3	9329.8	9019.9	9610
P00817	IPP1	IPYR_YEAST	33	33	34	34	31	33	32	33	35	34	34	34	35	35	33	33583.94921875	33991.546875	22714.212890625	25722.572265625	29817.521484375	36779.05078125	26894.103515625	39442.75390625	35293.76171875	39251.44921875	37467.875	36400.6484375	38532.0625	25730.322265625	27483.078125	32971.3	31800.9	21555.7	23819.5	27567.4	32772.1	27096.2	39042.9	35181.8	38532.5	35687.3	34993.5	37942.6	24298.8	25526.2
P00830	ATP2	ATPB_YEAST	51	44	53	52	46	53	50	53	49	49	54	53	53	55	54	144437.671875	145198.65625	98316.7265625	164998.453125	135593.703125	244977.046875	124630.046875	229857.84375	161421.671875	161806.453125	198637.828125	161304.25	253344.703125	141969.390625	115043.6796875	72423.7	76078.2	51861.8	83490.7	71661.4	126675.4	64276.8	123583.1	82535.4	82015.7	100777.7	81265.2	128327.6	77824.3	60862.7
P00890	CIT1	CISY1_YEAST	29	26	27	33	26	32	27	30	30	30	31	30	33	31	32	60703.18359375	55086.671875	29535.3984375	66027.5078125	43499.6328125	166090.703125	37924.6328125	150687.234375	71664.8359375	60187.96875	57289.46484375	59829.81640625	167232.84375	62344.6484375	37705.85546875	18770.3	16432.7	8244.2	19039.2	12605.2	46284.8	11237.7	41388.2	19645.9	18117.9	16682.7	19119.7	48303.2	18484.4	11538.7
P00899	TRP2	TRPE_YEAST	14	13	14	14	13	14	13	11	11	14	14	14	14	14	14	12035.08203125	10230.5205078125	11734.1923828125	12587.388671875	12339.021484375	11275.076171875	11050.0244140625	9673.1240234375	11730.1494140625	15020.3427734375	11240.79296875	14257.1904296875	12596.986328125	12391.205078125	13100.7470703125	2584.8	2446	2521.9	2718.6	2447.5	2411.8	2400.9	2279.2	2504.4	3177.6	2598.4	3073.7	2834	2806.8	2879.3
P00912	TRP1	TRPF_YEAST	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1852.4906005859375	2272.23291015625	NaN	NaN	401.9558410644531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	168.4	206.6	NaN	NaN	36.5	NaN
P00924	ENO1	ENO1_YEAST	65	64	61	63	61	63	63	61	63	64	65	62	63	63	62	954483.5	874973.625	471419.8125	845709.5	717692.9375	1193112.875	612554.875	1094702.375	1046269.75	1151886	1276835	1136766.25	1354545.625	746963.25	666869.9375	376153.8	398627	188332.6	338795.3	303426	438924.2	257850.6	451467.2	443398	469815.8	496512.1	483506.9	502558.6	282732.8	273766.9
P00925	ENO2	ENO2_YEAST	65	59	64	65	62	65	62	60	62	65	65	65	65	64	64	382657.21875	413168.71875	205277.609375	319097	336585.9375	399480.40625	288304.09375	422195.625	419153.71875	504782.21875	528647.4375	504582.25	462408.75	290494.3125	286352.21875	270151.3	312258.1	157222.8	258570.6	273242.4	319128.5	223693.8	324089.1	317983	404100.9	388606.9	389678	368979	242959.8	237388.2
