PG.ProteinGroups	PG.Genes	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.NrOfPrecursorsIdentified	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.NrOfPrecursorsIdentified	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.NrOfPrecursorsIdentified	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.NrOfPrecursorsIdentified	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.NrOfPrecursorsIdentified	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.NrOfPrecursorsIdentified	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.NrOfPrecursorsIdentified	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.NrOfPrecursorsIdentified	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.NrOfPrecursorsIdentified	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.NrOfPrecursorsIdentified	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.NrOfPrecursorsIdentified	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.NrOfPrecursorsIdentified	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.NrOfPrecursorsIdentified	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.NrOfPrecursorsIdentified	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.NrOfPrecursorsIdentified	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.Quantity	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.Quantity	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.Quantity	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.Quantity	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.Quantity	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.Quantity	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.Quantity	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.Quantity	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.Quantity	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.Quantity	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.Quantity	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.Quantity	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.Quantity	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.Quantity	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.Quantity	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.IBAQ	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.IBAQ	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.IBAQ	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.IBAQ	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.IBAQ	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.IBAQ	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.IBAQ	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.IBAQ	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.IBAQ	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.IBAQ	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.IBAQ	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.IBAQ	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.IBAQ	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.IBAQ	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.IBAQ
A0A1W2PR19;A0A1W2PRG0	GSTT4;	1	0	1	0	0	0	0	0	0	0	2	2	0	0	2	3267.212646484375	NaN	7696.48046875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10733.5625	8763.064453125	NaN	NaN	8801.4560546875	85.5;98.7	NaN	201.4;232.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1683.2;1942.2	1197.9;1382.2	NaN	NaN	1168.4;1348.2
A0A2R8Y4L2	HNRNPA1L3	2	2	2	0	2	1	2	2	1	2	1	2	2	2	2	12942.3134765625	2453.194580078125	8406.58203125	NaN	16566.00390625	7536.02001953125	10383.787109375	13043.1376953125	401.8870849609375	12401.42578125	394.6662292480469	13242.8662109375	9023.5068359375	8790.96875	21748.625	1401.3	266.2	909.4	NaN	1699.2	364.2	1117.2	1390.9	22.2	1272	19.1	1371.6	925.7	901.3	2238.7
A0AAG2SUK6;Q16540	;MRPL23	7	7	8	3	7	7	8	5	5	6	5	7	7	5	5	48217.56640625	31356.439453125	113267.6953125	22650.69921875	116097.09375	53263.72265625	105720.4609375	26941.5859375	18104.119140625	25285.953125	20974.474609375	90593.984375	95436.9765625	45569.4296875	43514.4921875	23539.801;23539.801	16601.801;16601.801	57354;57354	6558.8;6558.8	53239.5;53239.5	26660;26660	50280.199;50280.199	12475.4;12475.4	7938.3;7938.3	12593.9;12593.9	8375.5;8375.5	44670.199;44670.199	44791;44791	20886;20886	19277.4;19277.4
A0AAG2TTZ7;A0AAG2TVR5;A6NN73;A7E2F4;A8MQT2;H3BPF8;P0DX52;P0DX53;Q0D2H9	;LOC124905483;GOLGA8CP;GOLGA8A;GOLGA8B;GOLGA8S;GOLGA8F;GOLGA8G;GOLGA8DP	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	976.1448364257812	NaN	68299.7890625	NaN	NaN	2871.708740234375	50393.0546875	40673.6328125	NaN	NaN	NaN	5861.66064453125	11479.140625	4954.58447265625	NaN	36.2;31.5;34.9;29.6;34.9;30.5;31.5;30.5;44.4	0;0;0;0;0;0;0;0;0	2529.6;2203.2;2439.3;2069.7;2439.3;2134.4;2203.2;2134.4;3104.5	NaN	NaN	106.4;92.6;102.6;87;102.6;89.7;92.6;89.7;130.5	1866.4;1625.6;1799.8;1527.1;1799.8;1574.8;1625.6;1574.8;2290.6	1506.4;1312.1;1452.6;1232.5;1452.6;1271.1;1312.1;1271.1;1848.8	NaN	NaN	NaN	217.1;189.1;209.3;177.6;209.3;183.2;189.1;183.2;266.4	425.2;370.3;410;347.9;410;358.7;370.3;358.7;521.8	183.5;159.8;176.9;150.1;176.9;154.8;159.8;154.8;225.2	NaN
A0AAG2UWQ9	NKRF	68	40	60	21	58	58	63	39	23	45	20	59	59	51	49	244672.5	96380.375	218878	39065.88671875	265486.0625	160781.796875	250457.15625	93856.03125	23857.5703125	105475.65625	29195.78125	218726.9375	204986.796875	214569.9375	161445.703125	49673.898	18664.9	40925.398	9308.8	46095.602	28071.4	48874.5	16275.7	4276.7	17461.301	3638.6	36525	38418.898	32903.102	23610.301
A0AAG2UXZ5;P39060	COL18A1	2	2	1	0	2	1	0	0	2	1	0	0	2	1	1	2715.289306640625	4295.44873046875	4425.02099609375	NaN	5197.62255859375	2507.01220703125	NaN	NaN	1837.232177734375	1692.1060791015625	NaN	NaN	3066.687255859375	5728.662109375	4812.904296875	68.4;61.4	116.7;104.7	61.1;54.8	NaN	132.2;118.7	34.6;31.1	NaN	NaN	54.3;48.7	23.4;21	NaN	NaN	93.7;84.1	79.1;71	66.5;59.7
A0AVT1	UBA6	2	2	1	1	0	2	1	1	1	2	1	2	1	1	0	27654.205078125	25378.025390625	48035.94921875	11711.001953125	NaN	49826.8671875	36362.734375	9967.7705078125	7542.759765625	18977.734375	13662.7373046875	18261.591796875	16193.0986328125	9253.8759765625	NaN	1311.8	714.2	161.6	374.9	NaN	1311.1	122.3	33.5	25.4	924	46	619	518.4	31.1	NaN
A0FGR8	ESYT2	12	11	12	9	8	12	8	10	6	9	5	8	9	8	8	13857.466796875	13140.4853515625	24050.703125	16433.435546875	12514.3828125	21667.62890625	16957.9609375	14607.1611328125	5660.1416015625	8212.125	4196.37744140625	10626.6728515625	14385.6123046875	17529.3359375	6621.8486328125	2291.1	1787.1	3943.4	2268.9	1290.3	4156.4	2100.8	2190.8	635.6	1233.6	471.3	1518.8	1980.9	2539.1	1116.5
A0JLT2	MED19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5536.24609375	7259.2421875	6410.21484375	7877.16162109375	2020.8900146484375	6597.265625	5421.451171875	2752.57958984375	1239.412109375	1099.2906494140625	1154.4124755859375	1706.0479736328125	1119.50048828125	5635.07763671875	2282.490234375	503.3	659.9	582.7	716.1	183.7	599.8	492.9	250.2	112.7	99.9	104.9	155.1	101.8	512.3	207.5
A0JNW5	BLTP3B	1	0	2	3	0	5	0	0	0	0	0	0	1	6	2	1729.3568115234375	NaN	3155.05029296875	1805.287109375	NaN	3728.787109375	NaN	NaN	NaN	NaN	NaN	NaN	1407.683837890625	2465.033203125	2700.154541015625	24.8	NaN	58	74.5	NaN	875	NaN	NaN	NaN	NaN	NaN	NaN	21.9	172	825.8
A1KXE4	FAM168B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13568.7919921875	8826.748046875	12386.5048828125	9419.451171875	14663.6669921875	12082.4541015625	10190.6171875	12105.498046875	7096.33984375	13985.3798828125	7511.2392578125	11761.5859375	15769.99609375	12217.50390625	11345.84375	1938.4	1261	1769.5	1345.6	2094.8	1726.1	1455.8	1729.4	1013.8	1997.9	1073	1680.2	2252.9	1745.4	1620.8
A1L020	MEX3A	10	5	4	0	12	4	8	8	2	11	0	10	12	8	11	6570.57568359375	4033.603515625	10378.5712890625	NaN	12178.2861328125	3933.356201171875	10656.9736328125	4262.501953125	1565.37353515625	9220.6259765625	NaN	8718.54296875	10965.234375	6296.41064453125	8687.03125	2829.6	997.7	1888	NaN	7439.1	755.2	5140.3	2671.9	175.8	3444.5	NaN	3511.6	12069.1	3899.9	5129.7
A1L0T0	ILVBL	12	10	12	10	12	12	8	10	10	9	4	7	10	12	8	13240.982421875	16668.171875	34618.984375	17730.05078125	12800.9375	23425.400390625	18521.90234375	16160.3720703125	6802.28369140625	11742.3115234375	5128.49658203125	12377.2607421875	12677.978515625	15558.005859375	6888.0615234375	6745.5	4009.6	6943.4	3631.6	3748.2	5439.9	2992.4	3538.7	2997.2	2581.4	2073.1	2436.5	2986.8	6136.5	2672.4
A1X283	SH3PXD2B	0	2	2	1	1	1	1	1	1	2	1	0	1	1	0	NaN	17638.265625	16954.33203125	11618.3974609375	13082.037109375	16706.025390625	15232.5703125	8522.310546875	4500.14306640625	7897.8330078125	2773.70556640625	NaN	12592.041015625	10864.322265625	NaN	NaN	702.1	587.3	242	272.5	348	317.3	177.5	93.8	277.9	42.5	NaN	262.3	226.3	NaN
A2RRP1	NBAS	1	1	1	2	1	2	1	1	0	1	1	1	0	1	0	2224.79150390625	3878.351318359375	4010.3349609375	3898.502685546875	3369.351806640625	6045.0927734375	3173.680419921875	3368.0673828125	NaN	4015.08447265625	2026.203369140625	4260.052734375	NaN	2204.44677734375	NaN	19.9	34.8	36	51.6	30.2	75.9	28.5	30.2	NaN	36	18.2	38.2	NaN	19.8	NaN
A3KMH1	VWA8	8	2	6	2	6	9	5	7	5	4	2	6	6	5	4	11603.0419921875	9843.755859375	22731.4765625	14176.8564453125	10832.4033203125	17104.748046875	11673.767578125	8538.8623046875	4426.88818359375	8550.271484375	2406.864990234375	8599.8671875	7653.919921875	10817.8720703125	5428.0625	562.5	109.8	885.7	172.7	493.6	836.9	382.4	425.2	178.3	261.6	43.6	442.9	367.6	440.2	171.7
